fen,played_move_uci
rnbqkb1r/ppp2ppp/5n2/3p4/3Pp3/2P5/PP1NPPPP/RNBQKB1R w KQkq - 2 5,e2e3
rnbqkb1r/ppp2ppp/5n2/3p4/3Pp3/2P1P3/PP1N1PPP/RNBQKB1R b KQkq - 0 5,c7c5
rnbqkb1r/pp3ppp/5n2/2pp4/3Pp3/2P1P3/PP1N1PPP/RNBQKB1R w KQkq - 0 6,f1e2
rnbqkb1r/pp3ppp/5n2/2pp4/3Pp3/2P1P3/PP1NBPPP/RNBQK2R b KQkq - 1 6,c5d4
rnbqkb1r/pp3ppp/5n2/3p4/3pp3/2P1P3/PP1NBPPP/RNBQK2R w KQkq - 0 7,e3d4
rnbqkb1r/pp3ppp/5n2/3p4/3Pp3/2P5/PP1NBPPP/RNBQK2R b KQkq - 0 7,b8c6
r1bqkb1r/pp3ppp/2n2n2/3p4/3Pp3/2P5/PP1NBPPP/RNBQK2R w KQkq - 1 8,e1g1
r1bqkb1r/pp3ppp/2n2n2/3p4/3Pp3/2P5/PP1NBPPP/RNBQ1RK1 b kq - 2 8,f8d6
r1bqk2r/pp3ppp/2nb1n2/3p4/3Pp3/2P5/PP1NBPPP/RNBQ1RK1 w kq - 3 9,f1e1
r1bqk2r/pp3ppp/2nb1n2/3p4/3Pp3/2P5/PP1NBPPP/RNBQR1K1 b kq - 4 9,h7h5
r1bqk2r/pp3pp1/2nb1n2/3p3p/3Pp3/2P5/PP1NBPPP/RNBQR1K1 w kq - 0 10,d2f1
r1bqk2r/pp3pp1/2nb1n2/3p3p/3Pp3/2P5/PP2BPPP/RNBQRNK1 b kq - 1 10,e8g8
r1bq1rk1/pp3pp1/2nb1n2/3p3p/3Pp3/2P5/PP2BPPP/RNBQRNK1 w - - 2 11,c1g5
r1bq1rk1/pp3pp1/2nb1n2/3p2Bp/3Pp3/2P5/PP2BPPP/RN1QRNK1 b - - 3 11,g7g6
r1bq1rk1/pp3p2/2nb1np1/3p2Bp/3Pp3/2P5/PP2BPPP/RN1QRNK1 w - - 0 12,b1d2
r1bq1rk1/pp3p2/2nb1np1/3p2Bp/3Pp3/2P5/PP1NBPPP/R2QRNK1 b - - 1 12,d6e7
r1bq1rk1/pp2bp2/2n2np1/3p2Bp/3Pp3/2P5/PP1NBPPP/R2QRNK1 w - - 2 13,f2f3
r1bq1rk1/pp2bp2/2n2np1/3p2Bp/3Pp3/2P2P2/PP1NB1PP/R2QRNK1 b - - 0 13,f8e8
r1bqr1k1/pp2bp2/2n2np1/3p2Bp/3Pp3/2P2P2/PP1NB1PP/R2QRNK1 w - - 1 14,f3e4
r1bqr1k1/pp2bp2/2n2np1/3p2Bp/3PP3/2P5/PP1NB1PP/R2QRNK1 b - - 0 14,f6e4
r1bqr1k1/pp2bp2/2n3p1/3p2Bp/3Pn3/2P5/PP1NB1PP/R2QRNK1 w - - 0 15,g5e7
r1bqr1k1/pp2Bp2/2n3p1/3p3p/3Pn3/2P5/PP1NB1PP/R2QRNK1 b - - 0 15,e8e7
r1bq2k1/pp2rp2/2n3p1/3p3p/3Pn3/2P5/PP1NB1PP/R2QRNK1 w - - 0 16,d2e4
r1bq2k1/pp2rp2/2n3p1/3p3p/3PN3/2P5/PP2B1PP/R2QRNK1 b - - 0 16,d5e4
r1bq2k1/pp2rp2/2n3p1/7p/3Pp3/2P5/PP2B1PP/R2QRNK1 w - - 0 17,e2c4
r1bq2k1/pp2rp2/2n3p1/7p/2BPp3/2P5/PP4PP/R2QRNK1 b - - 1 17,d8b6
r1b3k1/pp2rp2/1qn3p1/7p/2BPp3/2P5/PP4PP/R2QRNK1 w - - 2 18,c4b3
r1b3k1/pp2rp2/1qn3p1/7p/3Pp3/1BP5/PP4PP/R2QRNK1 b - - 3 18,c6a5
r1b3k1/pp2rp2/1q4p1/n6p/3Pp3/1BP5/PP4PP/R2QRNK1 w - - 4 19,g1h1
r1b3k1/pp2rp2/1q4p1/n6p/3Pp3/1BP5/PP4PP/R2QRN1K b - - 5 19,a5b3
r1b3k1/pp2rp2/1q4p1/7p/3Pp3/1nP5/PP4PP/R2QRN1K w - - 0 20,d1b3
r1b3k1/pp2rp2/1q4p1/7p/3Pp3/1QP5/PP4PP/R3RN1K b - - 0 20,b6b3
r1b3k1/pp2rp2/6p1/7p/3Pp3/1qP5/PP4PP/R3RN1K w - - 0 21,a2b3
r1b3k1/pp2rp2/6p1/7p/3Pp3/1PP5/1P4PP/R3RN1K b - - 0 21,c8e6
r5k1/pp2rp2/4b1p1/7p/3Pp3/1PP5/1P4PP/R3RN1K w - - 1 22,b3b4
r5k1/pp2rp2/4b1p1/7p/1P1Pp3/2P5/1P4PP/R3RN1K b - - 0 22,e6c4
r5k1/pp2rp2/6p1/7p/1PbPp3/2P5/1P4PP/R3RN1K w - - 1 23,f1e3
r5k1/pp2rp2/6p1/7p/1PbPp3/2P1N3/1P4PP/R3R2K b - - 2 23,c4e6
r5k1/pp2rp2/4b1p1/7p/1P1Pp3/2P1N3/1P4PP/R3R2K w - - 3 24,d4d5
r5k1/pp2rp2/4b1p1/3P3p/1P2p3/2P1N3/1P4PP/R3R2K b - - 0 24,e6d7
r5k1/pp1brp2/6p1/3P3p/1P2p3/2P1N3/1P4PP/R3R2K w - - 1 25,c3c4
r5k1/pp1brp2/6p1/3P3p/1PP1p3/4N3/1P4PP/R3R2K b - - 0 25,a7a6
r5k1/1p1brp2/p5p1/3P3p/1PP1p3/4N3/1P4PP/R3R2K w - - 0 26,b2b3
r5k1/1p1brp2/p5p1/3P3p/1PP1p3/1P2N3/6PP/R3R2K b - - 0 26,g8f8
r4k2/1p1brp2/p5p1/3P3p/1PP1p3/1P2N3/6PP/R3R2K w - - 1 27,d5d6
r4k2/1p1brp2/p2P2p1/7p/1PP1p3/1P2N3/6PP/R3R2K b - - 0 27,e7e5
r4k2/1p1b1p2/p2P2p1/4r2p/1PP1p3/1P2N3/6PP/R3R2K w - - 1 28,c4c5
r4k2/1p1b1p2/p2P2p1/2P1r2p/1P2p3/1P2N3/6PP/R3R2K b - - 0 28,f7f5
r4k2/1p1b4/p2P2p1/2P1rp1p/1P2p3/1P2N3/6PP/R3R2K w - - 0 29,e3c4
r4k2/1p1b4/p2P2p1/2P1rp1p/1PN1p3/1P6/6PP/R3R2K b - - 1 29,a8e8
4rk2/1p1b4/p2P2p1/2P1rp1p/1PN1p3/1P6/6PP/R3R2K w - - 2 30,c4b6
4rk2/1p1b4/pN1P2p1/2P1rp1p/1P2p3/1P6/6PP/R3R2K b - - 3 30,e8d8
3r1k2/1p1b4/pN1P2p1/2P1rp1p/1P2p3/1P6/6PP/R3R2K w - - 4 31,b6c4
3r1k2/1p1b4/p2P2p1/2P1rp1p/1PN1p3/1P6/6PP/R3R2K b - - 5 31,e5e6
3r1k2/1p1b4/p2Pr1p1/2P2p1p/1PN1p3/1P6/6PP/R3R2K w - - 6 32,c4b6
3r1k2/1p1b4/pN1Pr1p1/2P2p1p/1P2p3/1P6/6PP/R3R2K b - - 7 32,d7c6
3r1k2/1p6/pNbPr1p1/2P2p1p/1P2p3/1P6/6PP/R3R2K w - - 8 33,e1d1
3r1k2/1p6/pNbPr1p1/2P2p1p/1P2p3/1P6/6PP/R2R3K b - - 9 33,f8g7
3r4/1p4k1/pNbPr1p1/2P2p1p/1P2p3/1P6/6PP/R2R3K w - - 10 34,h1g1
3r4/1p4k1/pNbPr1p1/2P2p1p/1P2p3/1P6/6PP/R2R2K1 b - - 11 34,e4e3
3r4/1p4k1/pNbPr1p1/2P2p1p/1P6/1P2p3/6PP/R2R2K1 w - - 0 35,g1f1
3r4/1p4k1/pNbPr1p1/2P2p1p/1P6/1P2p3/6PP/R2R1K2 b - - 1 35,e3e2
3r4/1p4k1/pNbPr1p1/2P2p1p/1P6/1P6/4p1PP/R2R1K2 w - - 0 36,f1e1
3r4/1p4k1/pNbPr1p1/2P2p1p/1P6/1P6/4p1PP/R2RK3 b - - 1 36,e2d1q
3r4/1p4k1/pNbPr1p1/2P2p1p/1P6/1P6/6PP/R2qK3 w - - 0 37,e1d1
3r4/1p4k1/pNbPr1p1/2P2p1p/1P6/1P6/6PP/R2K4 b - - 0 37,c6g2
3r4/1p4k1/pN1Pr1p1/2P2p1p/1P6/1P6/6bP/R2K4 w - - 0 38,d1d2
3r4/1p4k1/pN1Pr1p1/2P2p1p/1P6/1P6/3K2bP/R7 b - - 1 38,g2c6
3r4/1p4k1/pNbPr1p1/2P2p1p/1P6/1P6/3K3P/R7 w - - 2 39,b4b5
3r4/1p4k1/pNbPr1p1/1PP2p1p/8/1P6/3K3P/R7 b - - 0 39,a6b5
3r4/1p4k1/1NbPr1p1/1pP2p1p/8/1P6/3K3P/R7 w - - 0 40,b3b4
3r4/1p4k1/1NbPr1p1/1pP2p1p/1P6/8/3K3P/R7 b - - 0 40,f5f4
3r4/1p4k1/1NbPr1p1/1pP4p/1P3p2/8/3K3P/R7 w - - 0 41,d2c3
3r4/1p4k1/1NbPr1p1/1pP4p/1P3p2/2K5/7P/R7 b - - 1 41,f4f3
3r4/1p4k1/1NbPr1p1/1pP4p/1P6/2K2p2/7P/R7 w - - 0 42,a1f1
3r4/1p4k1/1NbPr1p1/1pP4p/1P6/2K2p2/7P/5R2 b - - 1 42,d8f8
5r2/1p4k1/1NbPr1p1/1pP4p/1P6/2K2p2/7P/5R2 w - - 2 43,d6d7
5r2/1p1P2k1/1Nb1r1p1/1pP4p/1P6/2K2p2/7P/5R2 b - - 0 43,g6g5
5r2/1p1P2k1/1Nb1r3/1pP3pp/1P6/2K2p2/7P/5R2 w - - 0 44,b6c8
2N2r2/1p1P2k1/2b1r3/1pP3pp/1P6/2K2p2/7P/5R2 b - - 1 44,c6d7
2N2r2/1p1b2k1/4r3/1pP3pp/1P6/2K2p2/7P/5R2 w - - 0 45,c8d6
5r2/1p1b2k1/3Nr3/1pP3pp/1P6/2K2p2/7P/5R2 b - - 1 45,d7c6
5r2/1p4k1/2bNr3/1pP3pp/1P6/2K2p2/7P/5R2 w - - 2 46,c3d4
5r2/1p4k1/2bNr3/1pP3pp/1P1K4/5p2/7P/5R2 b - - 3 46,g5g4
5r2/1p4k1/2bNr3/1pP4p/1P1K2p1/5p2/7P/5R2 w - - 0 47,h2h3
5r2/1p4k1/2bNr3/1pP4p/1P1K2p1/5p1P/8/5R2 b - - 0 47,g4g3
5r2/1p4k1/2bNr3/1pP4p/1P1K4/5ppP/8/5R2 w - - 0 48,d6f5
5r2/1p4k1/2b1r3/1pP2N1p/1P1K4/5ppP/8/5R2 b - - 1 48,f8f5
8/1p4k1/2b1r3/1pP2r1p/1P1K4/5ppP/8/5R2 w - - 0 49,f1f3
8/1p4k1/2b1r3/1pP2r1p/1P1K4/5RpP/8/8 b - - 0 49,e6e4
8/1p4k1/2b5/1pP2r1p/1P1Kr3/5RpP/8/8 w - - 1 50,d4d3
8/1p4k1/2b5/1pP2r1p/1P2r3/3K1RpP/8/8 b - - 2 50,f5f3
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,c7c5
rnbqkbnr/pp1ppppp/8/2p5/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,d4c5
rnbqkbnr/pp1ppppp/8/2P5/8/8/PPP1PPPP/RNBQKBNR b KQkq - 0 2,g8f6
rnbqkb1r/pp1ppppp/5n2/2P5/8/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3,c1e3
rnbqkb1r/pp1ppppp/5n2/2P5/8/4B3/PPP1PPPP/RN1QKBNR b KQkq - 2 3,e7e6
rnbqkb1r/pp1p1ppp/4pn2/2P5/8/4B3/PPP1PPPP/RN1QKBNR w KQkq - 0 4,b1c3
rnbqkb1r/pp1p1ppp/4pn2/2P5/8/2N1B3/PPP1PPPP/R2QKBNR b KQkq - 1 4,b8a6
r1bqkb1r/pp1p1ppp/n3pn2/2P5/8/2N1B3/PPP1PPPP/R2QKBNR w KQkq - 2 5,c3a4
r1bqkb1r/pp1p1ppp/n3pn2/2P5/N7/4B3/PPP1PPPP/R2QKBNR b KQkq - 3 5,d8a5
r1b1kb1r/pp1p1ppp/n3pn2/q1P5/N7/4B3/PPP1PPPP/R2QKBNR w KQkq - 4 6,c2c3
r1b1kb1r/pp1p1ppp/n3pn2/q1P5/N7/2P1B3/PP2PPPP/R2QKBNR b KQkq - 0 6,a6c5
r1b1kb1r/pp1p1ppp/4pn2/q1n5/N7/2P1B3/PP2PPPP/R2QKBNR w KQkq - 0 7,a4c5
r1b1kb1r/pp1p1ppp/4pn2/q1N5/8/2P1B3/PP2PPPP/R2QKBNR b KQkq - 0 7,f8c5
r1b1k2r/pp1p1ppp/4pn2/q1b5/8/2P1B3/PP2PPPP/R2QKBNR w KQkq - 0 8,b2b4
r1b1k2r/pp1p1ppp/4pn2/q1b5/1P6/2P1B3/P3PPPP/R2QKBNR b KQkq - 0 8,c5b4
r1b1k2r/pp1p1ppp/4pn2/q7/1b6/2P1B3/P3PPPP/R2QKBNR w KQkq - 0 9,c3b4
r1b1k2r/pp1p1ppp/4pn2/q7/1P6/4B3/P3PPPP/R2QKBNR b KQkq - 0 9,a5b4
r1b1k2r/pp1p1ppp/4pn2/8/1q6/4B3/P3PPPP/R2QKBNR w KQkq - 0 10,e3d2
r1b1k2r/pp1p1ppp/4pn2/8/1q6/8/P2BPPPP/R2QKBNR b KQkq - 1 10,b4e7
r1b1k2r/pp1pqppp/4pn2/8/8/8/P2BPPPP/R2QKBNR w KQkq - 2 11,g1f3
r1b1k2r/pp1pqppp/4pn2/8/8/5N2/P2BPPPP/R2QKB1R b KQkq - 3 11,e8g8
r1b2rk1/pp1pqppp/4pn2/8/8/5N2/P2BPPPP/R2QKB1R w KQ - 4 12,a1b1
r1b2rk1/pp1pqppp/4pn2/8/8/5N2/P2BPPPP/1R1QKB1R b K - 5 12,d7d6
r1b2rk1/pp2qppp/3ppn2/8/8/5N2/P2BPPPP/1R1QKB1R w K - 0 13,d2b4
r1b2rk1/pp2qppp/3ppn2/8/1B6/5N2/P3PPPP/1R1QKB1R b K - 1 13,f8d8
r1br2k1/pp2qppp/3ppn2/8/1B6/5N2/P3PPPP/1R1QKB1R w K - 2 14,e2e3
r1br2k1/pp2qppp/3ppn2/8/1B6/4PN2/P4PPP/1R1QKB1R b K - 0 14,a7a5
r1br2k1/1p2qppp/3ppn2/p7/1B6/4PN2/P4PPP/1R1QKB1R w K - 0 15,b4c3
r1br2k1/1p2qppp/3ppn2/p7/8/2B1PN2/P4PPP/1R1QKB1R b K - 1 15,b7b6
r1br2k1/4qppp/1p1ppn2/p7/8/2B1PN2/P4PPP/1R1QKB1R w K - 0 16,f1d3
r1br2k1/4qppp/1p1ppn2/p7/8/2BBPN2/P4PPP/1R1QK2R b K - 1 16,c8a6
r2r2k1/4qppp/bp1ppn2/p7/8/2BBPN2/P4PPP/1R1QK2R w K - 2 17,e1g1
r2r2k1/4qppp/bp1ppn2/p7/8/2BBPN2/P4PPP/1R1Q1RK1 b - - 3 17,a6d3
r2r2k1/4qppp/1p1ppn2/p7/8/2BbPN2/P4PPP/1R1Q1RK1 w - - 0 18,d1d3
r2r2k1/4qppp/1p1ppn2/p7/8/2BQPN2/P4PPP/1R3RK1 b - - 0 18,e6e5
r2r2k1/4qppp/1p1p1n2/p3p3/8/2BQPN2/P4PPP/1R3RK1 w - - 0 19,h2h3
r2r2k1/4qppp/1p1p1n2/p3p3/8/2BQPN1P/P4PP1/1R3RK1 b - - 0 19,e5e4
r2r2k1/4qppp/1p1p1n2/p7/4p3/2BQPN1P/P4PP1/1R3RK1 w - - 0 20,d3d4
r2r2k1/4qppp/1p1p1n2/p7/3Qp3/2B1PN1P/P4PP1/1R3RK1 b - - 1 20,e4f3
r2r2k1/4qppp/1p1p1n2/p7/3Q4/2B1Pp1P/P4PP1/1R3RK1 w - - 0 21,g2f3
r2r2k1/4qppp/1p1p1n2/p7/3Q4/2B1PP1P/P4P2/1R3RK1 b - - 0 21,a8c8
2rr2k1/4qppp/1p1p1n2/p7/3Q4/2B1PP1P/P4P2/1R3RK1 w - - 1 22,b1b6
2rr2k1/4qppp/1R1p1n2/p7/3Q4/2B1PP1P/P4P2/5RK1 b - - 0 22,c8c5
3r2k1/4qppp/1R1p1n2/p1r5/3Q4/2B1PP1P/P4P2/5RK1 w - - 1 23,c3b2
3r2k1/4qppp/1R1p1n2/p1r5/3Q4/4PP1P/PB3P2/5RK1 b - - 2 23,c5g5
3r2k1/4qppp/1R1p1n2/p5r1/3Q4/4PP1P/PB3P2/5RK1 w - - 3 24,g1h2
3r2k1/4qppp/1R1p1n2/p5r1/3Q4/4PP1P/PB3P1K/5R2 b - - 4 24,e7e6
3r2k1/5ppp/1R1pqn2/p5r1/3Q4/4PP1P/PB3P1K/5R2 w - - 5 25,f1g1
3r2k1/5ppp/1R1pqn2/p5r1/3Q4/4PP1P/PB3P1K/6R1 b - - 6 25,g5h5
3r2k1/5ppp/1R1pqn2/p6r/3Q4/4PP1P/PB3P1K/6R1 w - - 7 26,g1g3
3r2k1/5ppp/1R1pqn2/p6r/3Q4/4PPRP/PB3P1K/8 b - - 8 26,h7h6
3r2k1/5pp1/1R1pqn1p/p6r/3Q4/4PPRP/PB3P1K/8 w - - 0 27,d4f6
3r2k1/5pp1/1R1pqQ1p/p6r/8/4PPRP/PB3P1K/8 b - - 0 27,h5h3
3r2k1/5pp1/1R1pqQ1p/p7/8/4PPRr/PB3P1K/8 w - - 0 28,g3h3
3r2k1/5pp1/1R1pqQ1p/p7/8/4PP1R/PB3P1K/8 b - - 0 28,e6f6
3r2k1/5pp1/1R1p1q1p/p7/8/4PP1R/PB3P1K/8 w - - 0 29,h3g3
3r2k1/5pp1/1R1p1q1p/p7/8/4PPR1/PB3P1K/8 b - - 1 29,f6e6
3r2k1/5pp1/1R1pq2p/p7/8/4PPR1/PB3P1K/8 w - - 2 30,g3g7
3r2k1/5pR1/1R1pq2p/p7/8/4PP2/PB3P1K/8 b - - 0 30,g8f8
3r1k2/5pR1/1R1pq2p/p7/8/4PP2/PB3P1K/8 w - - 1 31,g7g3
3r1k2/5p2/1R1pq2p/p7/8/4PPR1/PB3P1K/8 b - - 2 31,f8e7
3r4/4kp2/1R1pq2p/p7/8/4PPR1/PB3P1K/8 w - - 3 32,b6b7
3r4/1R2kp2/3pq2p/p7/8/4PPR1/PB3P1K/8 b - - 4 32,d8d7
8/1R1rkp2/3pq2p/p7/8/4PPR1/PB3P1K/8 w - - 5 33,b7b8
1R6/3rkp2/3pq2p/p7/8/4PPR1/PB3P1K/8 b - - 6 33,d7d8
1R1r4/4kp2/3pq2p/p7/8/4PPR1/PB3P1K/8 w - - 7 34,b8b3
3r4/4kp2/3pq2p/p7/8/1R2PPR1/PB3P1K/8 b - - 8 34,d8d7
8/3rkp2/3pq2p/p7/8/1R2PPR1/PB3P1K/8 w - - 9 35,b2a3
8/3rkp2/3pq2p/p7/8/BR2PPR1/P4P1K/8 b - - 10 35,e6e5
8/3rkp2/3p3p/p3q3/8/BR2PPR1/P4P1K/8 w - - 11 36,b3b2
8/3rkp2/3p3p/p3q3/8/B3PPR1/PR3P1K/8 b - - 12 36,e5e6
8/3rkp2/3pq2p/p7/8/B3PPR1/PR3P1K/8 w - - 13 37,f3f4
8/3rkp2/3pq2p/p7/5P2/B3P1R1/PR3P1K/8 b - - 0 37,e6e5
8/3rkp2/3p3p/p3q3/5P2/B3P1R1/PR3P1K/8 w - - 1 38,f4e5
8/3rkp2/3p3p/p3P3/8/B3P1R1/PR3P1K/8 b - - 0 38,e7e6
8/3r1p2/3pk2p/p3P3/8/B3P1R1/PR3P1K/8 w - - 1 39,e5d6
8/3r1p2/3Pk2p/p7/8/B3P1R1/PR3P1K/8 b - - 0 39,f7f5
8/3r4/3Pk2p/p4p2/8/B3P1R1/PR3P1K/8 w - - 0 40,h2g2
8/3r4/3Pk2p/p4p2/8/B3P1R1/PR3PK1/8 b - - 1 40,f5f4
8/3r4/3Pk2p/p7/5p2/B3P1R1/PR3PK1/8 w - - 0 41,g3g6
8/3r4/3Pk1Rp/p7/5p2/B3P3/PR3PK1/8 b - - 1 41,e6e5
8/3r4/3P2Rp/p3k3/5p2/B3P3/PR3PK1/8 w - - 2 42,g6h6
8/3r4/3P3R/p3k3/5p2/B3P3/PR3PK1/8 b - - 0 42,e5f5
8/3r4/3P3R/p4k2/5p2/B3P3/PR3PK1/8 w - - 1 43,g2f3
8/3r4/3P3R/p4k2/5p2/B3PK2/PR3P2/8 b - - 2 43,f4e3
8/3r4/3P3R/p4k2/8/B3pK2/PR3P2/8 w - - 0 44,b2b5
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e3
rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq - 0 1,d7d5
rnbqkbnr/ppp1pppp/8/3p4/8/4P3/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d4
rnbqkbnr/ppp1pppp/8/3p4/3P4/4P3/PPP2PPP/RNBQKBNR b KQkq - 0 2,g8f6
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/4P3/PPP2PPP/RNBQKBNR w KQkq - 1 3,g1f3
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq - 2 3,e7e5
rnbqkb1r/ppp2ppp/5n2/3pp3/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq - 0 4,c2c4
rnbqkb1r/ppp2ppp/5n2/3pp3/2PP4/4PN2/PP3PPP/RNBQKB1R b KQkq - 0 4,e5e4
rnbqkb1r/ppp2ppp/5n2/3p4/2PPp3/4PN2/PP3PPP/RNBQKB1R w KQkq - 0 5,f3d2
rnbqkb1r/ppp2ppp/5n2/3p4/2PPp3/4P3/PP1N1PPP/RNBQKB1R b KQkq - 1 5,c7c6
rnbqkb1r/pp3ppp/2p2n2/3p4/2PPp3/4P3/PP1N1PPP/RNBQKB1R w KQkq - 0 6,c4d5
rnbqkb1r/pp3ppp/2p2n2/3P4/3Pp3/4P3/PP1N1PPP/RNBQKB1R b KQkq - 0 6,c6d5
rnbqkb1r/pp3ppp/5n2/3p4/3Pp3/4P3/PP1N1PPP/RNBQKB1R w KQkq - 0 7,b1c3
rnbqkb1r/pp3ppp/5n2/3p4/3Pp3/2N1P3/PP1N1PPP/R1BQKB1R b KQkq - 1 7,b8c6
r1bqkb1r/pp3ppp/2n2n2/3p4/3Pp3/2N1P3/PP1N1PPP/R1BQKB1R w KQkq - 2 8,a2a3
r1bqkb1r/pp3ppp/2n2n2/3p4/3Pp3/P1N1P3/1P1N1PPP/R1BQKB1R b KQkq - 0 8,f8d6
r1bqk2r/pp3ppp/2nb1n2/3p4/3Pp3/P1N1P3/1P1N1PPP/R1BQKB1R w KQkq - 1 9,b2b4
r1bqk2r/pp3ppp/2nb1n2/3p4/1P1Pp3/P1N1P3/3N1PPP/R1BQKB1R b KQkq - 0 9,e8g8
r1bq1rk1/pp3ppp/2nb1n2/3p4/1P1Pp3/P1N1P3/3N1PPP/R1BQKB1R w KQ - 1 10,b4b5
r1bq1rk1/pp3ppp/2nb1n2/1P1p4/3Pp3/P1N1P3/3N1PPP/R1BQKB1R b KQ - 0 10,c6e7
r1bq1rk1/pp2nppp/3b1n2/1P1p4/3Pp3/P1N1P3/3N1PPP/R1BQKB1R w KQ - 1 11,a3a4
r1bq1rk1/pp2nppp/3b1n2/1P1p4/P2Pp3/2N1P3/3N1PPP/R1BQKB1R b KQ - 0 11,f6g4
r1bq1rk1/pp2nppp/3b4/1P1p4/P2Pp1n1/2N1P3/3N1PPP/R1BQKB1R w KQ - 1 12,h2h3
r1bq1rk1/pp2nppp/3b4/1P1p4/P2Pp1n1/2N1P2P/3N1PP1/R1BQKB1R b KQ - 0 12,g4e3
r1bq1rk1/pp2nppp/3b4/1P1p4/P2Pp3/2N1n2P/3N1PP1/R1BQKB1R w KQ - 0 13,f2e3
r1bq1rk1/pp2nppp/3b4/1P1p4/P2Pp3/2N1P2P/3N2P1/R1BQKB1R b KQ - 0 13,d6g3
r1bq1rk1/pp2nppp/8/1P1p4/P2Pp3/2N1P1bP/3N2P1/R1BQKB1R w KQ - 1 14,e1e2
r1bq1rk1/pp2nppp/8/1P1p4/P2Pp3/2N1P1bP/3NK1P1/R1BQ1B1R b - - 2 14,f7f5
r1bq1rk1/pp2n1pp/8/1P1p1p2/P2Pp3/2N1P1bP/3NK1P1/R1BQ1B1R w - - 0 15,d2b3
r1bq1rk1/pp2n1pp/8/1P1p1p2/P2Pp3/1NN1P1bP/4K1P1/R1BQ1B1R b - - 1 15,f5f4
r1bq1rk1/pp2n1pp/8/1P1p4/P2Ppp2/1NN1P1bP/4K1P1/R1BQ1B1R w - - 0 16,e3f4
r1bq1rk1/pp2n1pp/8/1P1p4/P2PpP2/1NN3bP/4K1P1/R1BQ1B1R b - - 0 16,f8f4
r1bq2k1/pp2n1pp/8/1P1p4/P2Ppr2/1NN3bP/4K1P1/R1BQ1B1R w - - 0 17,c1f4
r1bq2k1/pp2n1pp/8/1P1p4/P2PpB2/1NN3bP/4K1P1/R2Q1B1R b - - 0 17,g3f4
r1bq2k1/pp2n1pp/8/1P1p4/P2Ppb2/1NN4P/4K1P1/R2Q1B1R w - - 0 18,b3c5
r1bq2k1/pp2n1pp/8/1PNp4/P2Ppb2/2N4P/4K1P1/R2Q1B1R b - - 1 18,b7b6
r1bq2k1/p3n1pp/1p6/1PNp4/P2Ppb2/2N4P/4K1P1/R2Q1B1R w - - 0 19,c5e4
r1bq2k1/p3n1pp/1p6/1P1p4/P2PNb2/2N4P/4K1P1/R2Q1B1R b - - 0 19,d5e4
r1bq2k1/p3n1pp/1p6/1P6/P2Ppb2/2N4P/4K1P1/R2Q1B1R w - - 0 20,c3e4
r1bq2k1/p3n1pp/1p6/1P6/P2PNb2/7P/4K1P1/R2Q1B1R b - - 0 20,c8e6
r2q2k1/p3n1pp/1p2b3/1P6/P2PNb2/7P/4K1P1/R2Q1B1R w - - 1 21,e2f3
r2q2k1/p3n1pp/1p2b3/1P6/P2PNb2/5K1P/6P1/R2Q1B1R b - - 2 21,e7d5
r2q2k1/p5pp/1p2b3/1P1n4/P2PNb2/5K1P/6P1/R2Q1B1R w - - 3 22,f1c4
r2q2k1/p5pp/1p2b3/1P1n4/P1BPNb2/5K1P/6P1/R2Q3R b - - 4 22,d8c7
r5k1/p1q3pp/1p2b3/1P1n4/P1BPNb2/5K1P/6P1/R2Q3R w - - 5 23,c4d5
r5k1/p1q3pp/1p2b3/1P1B4/P2PNb2/5K1P/6P1/R2Q3R b - - 0 23,e6d5
r5k1/p1q3pp/1p6/1P1b4/P2PNb2/5K1P/6P1/R2Q3R w - - 0 24,a1c1
r5k1/p1q3pp/1p6/1P1b4/P2PNb2/5K1P/6P1/2RQ3R b - - 1 24,c7f7
r5k1/p4qpp/1p6/1P1b4/P2PNb2/5K1P/6P1/2RQ3R w - - 2 25,f3g4
r5k1/p4qpp/1p6/1P1b4/P2PNbK1/7P/6P1/2RQ3R b - - 3 25,h7h5
r5k1/p4qp1/1p6/1P1b3p/P2PNbK1/7P/6P1/2RQ3R w - - 0 26,g4h4
r5k1/p4qp1/1p6/1P1b3p/P2PNb1K/7P/6P1/2RQ3R b - - 1 26,f4c1
r5k1/p4qp1/1p6/1P1b3p/P2PN2K/7P/6P1/2bQ3R w - - 0 27,d1c1
r5k1/p4qp1/1p6/1P1b3p/P2PN2K/7P/6P1/2Q4R b - - 0 27,d5e4
