fen,played_move_uci
rq3k1r/1b2bp2/p2p1p2/3BpPn1/NP5P/P2Q2N1/1P4K1/2R2R2 b - - 0 24,h8h4
rq3k2/1b2bp2/p2p1p2/3BpPn1/NP5r/P2Q2N1/1P4K1/2R2R2 w - - 0 25,f1h1
rq3k2/1b2bp2/p2p1p2/3BpPn1/NP5r/P2Q2N1/1P4K1/2R4R b - - 1 25,h4h1
rq3k2/1b2bp2/p2p1p2/3BpPn1/NP6/P2Q2N1/1P4K1/2R4r w - - 0 26,c1h1
rq3k2/1b2bp2/p2p1p2/3BpPn1/NP6/P2Q2N1/1P4K1/7R b - - 0 26,f8g7
rq6/1b2bpk1/p2p1p2/3BpPn1/NP6/P2Q2N1/1P4K1/7R w - - 1 27,g3e4
rq6/1b2bpk1/p2p1p2/3BpPn1/NP2N3/P2Q4/1P4K1/7R b - - 2 27,b8c8
r1q5/1b2bpk1/p2p1p2/3BpPn1/NP2N3/P2Q4/1P4K1/7R w - - 3 28,e4g5
r1q5/1b2bpk1/p2p1p2/3BpPN1/NP6/P2Q4/1P4K1/7R b - - 0 28,f6g5
r1q5/1b2bpk1/p2p4/3BpPp1/NP6/P2Q4/1P4K1/7R w - - 0 29,f5f6
r1q5/1b2bpk1/p2p1P2/3Bp1p1/NP6/P2Q4/1P4K1/7R b - - 0 29,g7f8
r1q2k2/1b2bp2/p2p1P2/3Bp1p1/NP6/P2Q4/1P4K1/7R w - - 1 30,h1h8
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,g7g6
rnbqkbnr/pppppp1p/6p1/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,c1f4
rnbqkbnr/pppppp1p/6p1/8/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 1 2,f8g7
rnbqk1nr/ppppppbp/6p1/8/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq - 2 3,c2c3
rnbqk1nr/ppppppbp/6p1/8/3P1B2/2P5/PP2PPPP/RN1QKBNR b KQkq - 0 3,d7d6
rnbqk1nr/ppp1ppbp/3p2p1/8/3P1B2/2P5/PP2PPPP/RN1QKBNR w KQkq - 0 4,d1d2
rnbqk1nr/ppp1ppbp/3p2p1/8/3P1B2/2P5/PP1QPPPP/RN2KBNR b KQkq - 1 4,b8d7
r1bqk1nr/pppnppbp/3p2p1/8/3P1B2/2P5/PP1QPPPP/RN2KBNR w KQkq - 2 5,h2h4
r1bqk1nr/pppnppbp/3p2p1/8/3P1B1P/2P5/PP1QPPP1/RN2KBNR b KQkq - 0 5,e7e5
r1bqk1nr/pppn1pbp/3p2p1/4p3/3P1B1P/2P5/PP1QPPP1/RN2KBNR w KQkq - 0 6,h4h5
r1bqk1nr/pppn1pbp/3p2p1/4p2P/3P1B2/2P5/PP1QPPP1/RN2KBNR b KQkq - 0 6,e5f4
r1bqk1nr/pppn1pbp/3p2p1/7P/3P1p2/2P5/PP1QPPP1/RN2KBNR w KQkq - 0 7,h5g6
r1bqk1nr/pppn1pbp/3p2P1/8/3P1p2/2P5/PP1QPPP1/RN2KBNR b KQkq - 0 7,h7g6
r1bqk1nr/pppn1pb1/3p2p1/8/3P1p2/2P5/PP1QPPP1/RN2KBNR w KQkq - 0 8,h1h8
r1bqk1nR/pppn1pb1/3p2p1/8/3P1p2/2P5/PP1QPPP1/RN2KBN1 b Qq - 0 8,g7h8
r1bqk1nb/pppn1p2/3p2p1/8/3P1p2/2P5/PP1QPPP1/RN2KBN1 w Qq - 0 9,d2f4
r1bqk1nb/pppn1p2/3p2p1/8/3P1Q2/2P5/PP2PPP1/RN2KBN1 b Qq - 0 9,h8g7
