fen,played_move_uci,best_move_uci,best_eval
r3kb1r/1bq2p2/p2p1p2/3BpP2/NP2n3/7p/PP2N1PP/2RQ1R1K b kq - 1 19,h3g2,e4c5,-197
r3kb1r/1bq2p2/p2p1p2/3BpP2/NP2n3/8/PP2N1pP/2RQ1R1K w kq - 0 20,h1g2,h1g2,269
r3kb1r/1bq2p2/p2p1p2/3BpP2/NP2n3/8/PP2N1KP/2RQ1R2 b kq - 0 20,c7b8,e4c5,-217
rq2kb1r/1b3p2/p2p1p2/3BpP2/NP2n3/8/PP2N1KP/2RQ1R2 w kq - 1 21,d1d3,c1c4,305
rq2kb1r/1b3p2/p2p1p2/3BpP2/NP2n3/3Q4/PP2N1KP/2R2R2 b kq - 2 21,e4g5,e4g5,-206
rq2kb1r/1b3p2/p2p1p2/3BpPn1/NP6/3Q4/PP2N1KP/2R2R2 w kq - 3 22,e2g3,a4b6,211
rq2kb1r/1b3p2/p2p1p2/3BpPn1/NP6/3Q2N1/PP4KP/2R2R2 b kq - 4 22,f8e7,h8h4,19
rq2k2r/1b2bp2/p2p1p2/3BpPn1/NP6/3Q2N1/PP4KP/2R2R2 w kq - 5 23,a2a3,c1c4,156
rq2k2r/1b2bp2/p2p1p2/3BpPn1/NP6/P2Q2N1/1P4KP/2R2R2 b kq - 0 23,e8f8,b8a7,-43
rq3k1r/1b2bp2/p2p1p2/3BpPn1/NP6/P2Q2N1/1P4KP/2R2R2 w - - 1 24,h2h4,a4b6,206
rq3k1r/1b2bp2/p2p1p2/3BpPn1/NP5P/P2Q2N1/1P4K1/2R2R2 b - - 0 24,h8h4,h8h4,71
rq3k2/1b2bp2/p2p1p2/3BpPn1/NP5r/P2Q2N1/1P4K1/2R2R2 w - - 0 25,f1h1,d5c6,-176
rq3k2/1b2bp2/p2p1p2/3BpPn1/NP5r/P2Q2N1/1P4K1/2R4R b - - 1 25,h4h1,h4d4,252
rq3k2/1b2bp2/p2p1p2/3BpPn1/NP6/P2Q2N1/1P4K1/2R4r w - - 0 26,c1h1,c1h1,144
rq3k2/1b2bp2/p2p1p2/3BpPn1/NP6/P2Q2N1/1P4K1/7R b - - 0 26,f8g7,b8a7,-111
rq6/1b2bpk1/p2p1p2/3BpPn1/NP6/P2Q2N1/1P4K1/7R w - - 1 27,g3e4,a4b6,145
rq6/1b2bpk1/p2p1p2/3BpPn1/NP2N3/P2Q4/1P4K1/7R b - - 2 27,b8c8,b7d5,40
r1q5/1b2bpk1/p2p1p2/3BpPn1/NP2N3/P2Q4/1P4K1/7R w - - 3 28,e4g5,e4c3,80
r1q5/1b2bpk1/p2p1p2/3BpPN1/NP6/P2Q4/1P4K1/7R b - - 0 28,f6g5,b7d5,-221
r1q5/1b2bpk1/p2p4/3BpPp1/NP6/P2Q4/1P4K1/7R w - - 0 29,f5f6,f5f6,99996
r1q5/1b2bpk1/p2p1P2/3Bp1p1/NP6/P2Q4/1P4K1/7R b - - 0 29,g7f8,g7f6,-99997
r1q2k2/1b2bp2/p2p1P2/3Bp1p1/NP6/P2Q4/1P4K1/7R w - - 1 30,h1h8,h1h8,99999
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,e2e4,42
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,g7g6,d7d5,0
rnbqkbnr/pppppp1p/6p1/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,c1f4,e2e4,70
rnbqkbnr/pppppp1p/6p1/8/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 1 2,f8g7,g8f6,-3
rnbqk1nr/ppppppbp/6p1/8/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq - 2 3,c2c3,b1c3,27
rnbqk1nr/ppppppbp/6p1/8/3P1B2/2P5/PP2PPPP/RN1QKBNR b KQkq - 0 3,d7d6,g8f6,-4
