fen,played_move_uci,best_move_uci,best_eval
rnbq1rk1/pp1pppbp/5np1/2p5/3P1B2/2P1PN1P/PP3PP1/RN1QKB1R b KQ - 0 6,d7d6,d8b6,6
rnbq1rk1/pp2ppbp/3p1np1/2p5/3P1B2/2P1PN1P/PP3PP1/RN1QKB1R w KQ - 0 7,b1d2,d4c5,17
rnbq1rk1/pp2ppbp/3p1np1/2p5/3P1B2/2P1PN1P/PP1N1PP1/R2QKB1R b KQ - 1 7,b8c6,c5d4,8
r1bq1rk1/pp2ppbp/2np1np1/2p5/3P1B2/2P1PN1P/PP1N1PP1/R2QKB1R w KQ - 2 8,d1b3,d4c5,34
r1bq1rk1/pp2ppbp/2np1np1/2p5/3P1B2/1QP1PN1P/PP1N1PP1/R3KB1R b KQ - 3 8,b7b6,c5d4,86
r1bq1rk1/p3ppbp/1pnp1np1/2p5/3P1B2/1QP1PN1P/PP1N1PP1/R3KB1R w KQ - 0 9,a2a4,f1e2,-13
r1bq1rk1/p3ppbp/1pnp1np1/2p5/P2P1B2/1QP1PN1P/1P1N1PP1/R3KB1R b KQ - 0 9,c8e6,c5d4,94
r2q1rk1/p3ppbp/1pnpbnp1/2p5/P2P1B2/1QP1PN1P/1P1N1PP1/R3KB1R w KQ - 1 10,b3a3,b3a3,-30
r2q1rk1/p3ppbp/1pnpbnp1/2p5/P2P1B2/Q1P1PN1P/1P1N1PP1/R3KB1R b KQ - 2 10,a8c8,c5d4,27
2rq1rk1/p3ppbp/1pnpbnp1/2p5/P2P1B2/Q1P1PN1P/1P1N1PP1/R3KB1R w KQ - 3 11,f1e2,f1b5,37
2rq1rk1/p3ppbp/1pnpbnp1/2p5/P2P1B2/Q1P1PN1P/1P1NBPP1/R3K2R b KQ - 4 11,e6f5,c5d4,2
2rq1rk1/p3ppbp/1pnp1np1/2p2b2/P2P1B2/Q1P1PN1P/1P1NBPP1/R3K2R w KQ - 5 12,e1g1,f4h2,29
2rq1rk1/p3ppbp/1pnp1np1/2p2b2/P2P1B2/Q1P1PN1P/1P1NBPP1/R4RK1 b - - 6 12,f6e4,c5d4,-33
2rq1rk1/p3ppbp/1pnp2p1/2p2b2/P2PnB2/Q1P1PN1P/1P1NBPP1/R4RK1 w - - 7 13,d2e4,d2e4,73
2rq1rk1/p3ppbp/1pnp2p1/2p2b2/P2PNB2/Q1P1PN1P/1P2BPP1/R4RK1 b - - 0 13,f5e4,f5e4,-83
2rq1rk1/p3ppbp/1pnp2p1/2p5/P2PbB2/Q1P1PN1P/1P2BPP1/R4RK1 w - - 0 14,f3d2,f3d2,77
2rq1rk1/p3ppbp/1pnp2p1/2p5/P2PbB2/Q1P1P2P/1P1NBPP1/R4RK1 b - - 1 14,e4f5,e4f5,-77
2rq1rk1/p3ppbp/1pnp2p1/2p2b2/P2P1B2/Q1P1P2P/1P1NBPP1/R4RK1 w - - 2 15,e3e4,e3e4,77
2rq1rk1/p3ppbp/1pnp2p1/2p2b2/P2PPB2/Q1P4P/1P1NBPP1/R4RK1 b - - 0 15,f5d7,f5d7,-69
2rq1rk1/p2bppbp/1pnp2p1/2p5/P2PPB2/Q1P4P/1P1NBPP1/R4RK1 w - - 1 16,d4d5,d4d5,66
2rq1rk1/p2bppbp/1pnp2p1/2pP4/P3PB2/Q1P4P/1P1NBPP1/R4RK1 b - - 0 16,c6e5,c6a5,-59
2rq1rk1/p2bppbp/1p1p2p1/2pPn3/P3PB2/Q1P4P/1P1NBPP1/R4RK1 w - - 1 17,f4e3,f4e3,146
2rq1rk1/p2bppbp/1p1p2p1/2pPn3/P3P3/Q1P1B2P/1P1NBPP1/R4RK1 b - - 2 17,f7f5,f7f5,-110
2rq1rk1/p2bp1bp/1p1p2p1/2pPnp2/P3P3/Q1P1B2P/1P1NBPP1/R4RK1 w - - 0 18,f2f4,f2f4,106
2rq1rk1/p2bp1bp/1p1p2p1/2pPnp2/P3PP2/Q1P1B2P/1P1NB1P1/R4RK1 b - - 0 18,e5f7,e5f7,-126
2rq1rk1/p2bpnbp/1p1p2p1/2pP1p2/P3PP2/Q1P1B2P/1P1NB1P1/R4RK1 w - - 1 19,e4f5,e4f5,112
2rq1rk1/p2bpnbp/1p1p2p1/2pP1P2/P4P2/Q1P1B2P/1P1NB1P1/R4RK1 b - - 0 19,d7f5,g6f5,-110
2rq1rk1/p3pnbp/1p1p2p1/2pP1b2/P4P2/Q1P1B2P/1P1NB1P1/R4RK1 w - - 0 20,a1e1,a3b3,97
2rq1rk1/p3pnbp/1p1p2p1/2pP1b2/P4P2/Q1P1B2P/1P1NB1P1/4RRK1 b - - 1 20,e7e5,e7e5,-30
2rq1rk1/p4nbp/1p1p2p1/2pPpb2/P4P2/Q1P1B2P/1P1NB1P1/4RRK1 w - e6 0 21,d2f3,d5e6,95
2rq1rk1/p4nbp/1p1p2p1/2pPpb2/P4P2/Q1P1BN1P/1P2B1P1/4RRK1 b - - 1 21,f5e4,g7h6,48
2rq1rk1/p4nbp/1p1p2p1/2pPp3/P3bP2/Q1P1BN1P/1P2B1P1/4RRK1 w - - 2 22,c3c4,a3b3,15
2rq1rk1/p4nbp/1p1p2p1/2pPp3/P1P1bP2/Q3BN1P/1P2B1P1/4RRK1 b - - 0 22,d8d7,e5f4,78
2r2rk1/p2q1nbp/1p1p2p1/2pPp3/P1P1bP2/Q3BN1P/1P2B1P1/4RRK1 w - - 1 23,f3d2,f4e5,16
2r2rk1/p2q1nbp/1p1p2p1/2pPp3/P1P1bP2/Q3B2P/1P1NB1P1/4RRK1 b - - 2 23,e5f4,e4f5,45
2r2rk1/p2q1nbp/1p1p2p1/2pP4/P1P1bp2/Q3B2P/1P1NB1P1/4RRK1 w - - 0 24,e3f4,e3f4,-34
2r2rk1/p2q1nbp/1p1p2p1/2pP4/P1P1bB2/Q6P/1P1NB1P1/4RRK1 b - - 0 24,c8e8,e4f5,50
4rrk1/p2q1nbp/1p1p2p1/2pP4/P1P1bB2/Q6P/1P1NB1P1/4RRK1 w - - 1 25,d2e4,d2e4,-45
4rrk1/p2q1nbp/1p1p2p1/2pP4/P1P1NB2/Q6P/1P2B1P1/4RRK1 b - - 0 25,e8e4,e8e4,55
5rk1/p2q1nbp/1p1p2p1/2pP4/P1P1rB2/Q6P/1P2B1P1/4RRK1 w - - 0 26,e2g4,e2g4,-52
5rk1/p2q1nbp/1p1p2p1/2pP4/P1P1rBB1/Q6P/1P4P1/4RRK1 b - - 1 26,d7e7,d7e7,64
5rk1/p3qnbp/1p1p2p1/2pP4/P1P1rBB1/Q6P/1P4P1/4RRK1 w - - 2 27,f4d2,a3g3,-58
5rk1/p3qnbp/1p1p2p1/2pP4/P1P1r1B1/Q6P/1P1B2P1/4RRK1 b - - 3 27,g7d4,e4e1,190
5rk1/p3qn1p/1p1p2p1/2pP4/P1Pbr1B1/Q6P/1P1B2P1/4RRK1 w - - 4 28,g1h1,g1h1,-222
5rk1/p3qn1p/1p1p2p1/2pP4/P1Pbr1B1/Q6P/1P1B2P1/4RR1K b - - 5 28,e4e1,e4e1,254
5rk1/p3qn1p/1p1p2p1/2pP4/P1Pb2B1/Q6P/1P1B2P1/4rR1K w - - 0 29,f1e1,f1e1,-242
5rk1/p3qn1p/1p1p2p1/2pP4/P1Pb2B1/Q6P/1P1B2P1/4R2K b - - 0 29,f7e5,f7e5,235
5rk1/p3q2p/1p1p2p1/2pPn3/P1Pb2B1/Q6P/1P1B2P1/4R2K w - - 1 30,g4e6,a4a5,-267
5rk1/p3q2p/1p1pB1p1/2pPn3/P1Pb4/Q6P/1P1B2P1/4R2K b - - 2 30,g8g7,g8g7,285
5r2/p3q1kp/1p1pB1p1/2pPn3/P1Pb4/Q6P/1P1B2P1/4R2K w - - 3 31,a3g3,d2c3,-316
5r2/p3q1kp/1p1pB1p1/2pPn3/P1Pb4/6QP/1P1B2P1/4R2K b - - 4 31,d4f2,d4f2,402
5r2/p3q1kp/1p1pB1p1/2pPn3/P1P5/6QP/1P1B1bP1/4R2K w - - 5 32,g3c3,d2g5,-408
5r2/p3q1kp/1p1pB1p1/2pPn3/P1P5/2Q4P/1P1B1bP1/4R2K b - - 6 32,f2e1,f2e1,393
5r2/p3q1kp/1p1pB1p1/2pPn3/P1P5/2Q4P/1P1B2P1/4b2K w - - 0 33,d2e1,d2e1,-408
5r2/p3q1kp/1p1pB1p1/2pPn3/P1P5/2Q4P/1P4P1/4B2K b - - 0 33,f8f1,f8f1,437
8/p3q1kp/1p1pB1p1/2pPn3/P1P5/2Q4P/1P4P1/4Br1K w - - 1 34,h1h2,h1h2,-367
8/p3q1kp/1p1pB1p1/2pPn3/P1P5/2Q4P/1P4PK/4Br2 b - - 2 34,e7f6,e7f6,404
8/p5kp/1p1pBqp1/2pPn3/P1P5/2Q4P/1P4PK/4Br2 w - - 3 35,e1g3,e1g3,-409
8/p5kp/1p1pBqp1/2pPn3/P1P5/2Q3BP/1P4PK/5r2 b - - 4 35,f1d1,h7h5,385
8/p5kp/1p1pBqp1/2pPn3/P1P5/2Q3BP/1P4PK/3r4 w - - 5 36,c3e3,a4a5,-375
8/p5kp/1p1pBqp1/2pPn3/P1P5/4Q1BP/1P4PK/3r4 b - - 6 36,h7h5,e5c4,441
8/p5k1/1p1pBqp1/2pPn2p/P1P5/4Q1BP/1P4PK/3r4 w - - 0 37,g3f4,h3h4,-408
8/p5k1/1p1pBqp1/2pPn2p/P1P2B2/4Q2P/1P4PK/3r4 b - - 1 37,d1d4,g7h7,369
8/p5k1/1p1pBqp1/2pPn2p/P1Pr1B2/4Q2P/1P4PK/8 w - - 2 38,f4h6,f4g5,-395
8/p5k1/1p1pBqpB/2pPn2p/P1Pr4/4Q2P/1P4PK/8 b - - 3 38,g7h7,g7h7,414
8/p6k/1p1pBqpB/2pPn2p/P1Pr4/4Q2P/1P4PK/8 w - - 4 39,h6g5,b2b3,-405
8/p6k/1p1pBqp1/2pPn1Bp/P1Pr4/4Q2P/1P4PK/8 b - - 5 39,f6f1,f6f1,459
8/p6k/1p1pB1p1/2pPn1Bp/P1Pr4/4Q2P/1P4PK/5q2 w - - 6 40,b2b3,a4a5,-464
8/p6k/1p1pB1p1/2pPn1Bp/P1Pr4/1P2Q2P/6PK/5q2 b - - 0 40,d4d1,d4d1,533
8/p6k/1p1pB1p1/2pPn1Bp/P1P5/1P2Q2P/6PK/3r1q2 w - - 1 41,g5f4,e6f5,-480
8/p6k/1p1pB1p1/2pPn2p/P1P2B2/1P2Q2P/6PK/3r1q2 b - - 2 41,f1h1,h5h4,99996
8/p6k/1p1pB1p1/2pPn2p/P1P2B2/1P2Q2P/6PK/3r3q w - - 3 42,h2g3,h2g3,-566
8/p6k/1p1pB1p1/2pPn2p/P1P2B2/1P2Q1KP/6P1/3r3q b - - 4 42,d1e1,d1d3,576
8/p6k/1p1pB1p1/2pPn2p/P1P2B2/1P2Q1KP/6P1/4r2q w - - 5 43,e3d2,e3f2,-342
8/p6k/1p1pB1p1/2pPn2p/P1P2B2/1P4KP/3Q2P1/4r2q b - - 6 43,e1e4,h1f1,443
8/p6k/1p1pB1p1/2pPn2p/P1P1rB2/1P4KP/3Q2P1/7q w - - 7 44,f4e3,d2f2,-374
8/p6k/1p1pB1p1/2pPn2p/P1P1r3/1P2B1KP/3Q2P1/7q b - - 8 44,h5h4,h1f1,395
8/p6k/1p1pB1p1/2pPn3/P1P1r2p/1P2B1KP/3Q2P1/7q w - - 0 45,g3f2,g3f2,-392
8/p6k/1p1pB1p1/2pPn3/P1P1r2p/1P2B2P/3Q1KP1/7q b - - 1 45,h1h2,h1h2,459
8/p6k/1p1pB1p1/2pPn3/P1P1r2p/1P2B2P/3Q1KPq/8 w - - 2 46,d2e2,f2f1,-481
8/p6k/1p1pB1p1/2pPn3/P1P1r2p/1P2B2P/4QKPq/8 b - - 3 46,h2g3,h2g3,572
8/p6k/1p1pB1p1/2pPn3/P1P1r2p/1P2B1qP/4QKP1/8 w - - 4 47,f2f1,f2f1,-723
8/p6k/1p1pB1p1/2pPn3/P1P1r2p/1P2B1qP/4Q1P1/5K2 b - - 5 47,e4e3,g3e3,674
8/p6k/1p1pB1p1/2pPn3/P1P4p/1P2r1qP/4Q1P1/5K2 w - - 0 48,e2f2,e2f2,-738
8/p6k/1p1pB1p1/2pPn3/P1P4p/1P2r1qP/5QP1/5K2 b - - 1 48,g3f2,g3f2,762
8/p6k/1p1pB1p1/2pPn3/P1P4p/1P2r2P/5qP1/5K2 w - - 0 49,f1f2,f1f2,-786
8/p6k/1p1pB1p1/2pPn3/P1P4p/1P2r2P/5KP1/8 b - - 0 49,e3e4,e3b3,783
8/p6k/1p1pB1p1/2pPn3/P1P1r2p/1P5P/5KP1/8 w - - 1 50,a4a5,b3b4,-625
8/p6k/1p1pB1p1/P1pPn3/2P1r2p/1P5P/5KP1/8 b - - 0 50,e4f4,b6a5,724
8/p6k/1p1pB1p1/P1pPn3/2P2r1p/1P5P/5KP1/8 w - - 1 51,f2e3,f2e3,-562
8/p6k/1p1pB1p1/P1pPn3/2P2r1p/1P2K2P/6P1/8 b - - 2 51,f4f6,f4f8,575
8/p6k/1p1pBrp1/P1pPn3/2P4p/1P2K2P/6P1/8 w - - 3 52,a5b6,a5a6,-515
8/p6k/1P1pBrp1/2pPn3/2P4p/1P2K2P/6P1/8 b - - 0 52,a7b6,a7b6,653
8/7k/1p1pBrp1/2pPn3/2P4p/1P2K2P/6P1/8 w - - 0 53,e6g4,e6g4,-617
8/7k/1p1p1rp1/2pPn3/2P3Bp/1P2K2P/6P1/8 b - - 1 53,e5g4,e5g4,557
8/7k/1p1p1rp1/2pP4/2P3np/1P2K2P/6P1/8 w - - 0 54,h3g4,h3g4,-625
8/7k/1p1p1rp1/2pP4/2P3Pp/1P2K3/6P1/8 b - - 0 54,g6g5,f6f8,707
8/7k/1p1p1r2/2pP2p1/2P3Pp/1P2K3/6P1/8 w - - 0 55,e3e4,e3e2,-703
8/7k/1p1p1r2/2pP2p1/2P1K1Pp/1P6/6P1/8 b - - 1 55,f6f4,f6f2,739
8/7k/1p1p4/2pP2p1/2P1KrPp/1P6/6P1/8 w - - 2 56,e4e3,e4d3,-747
8/7k/1p1p4/2pP2p1/2P2rPp/1P2K3/6P1/8 b - - 3 56,f4g4,h7h6,776
8/7k/1p1p4/2pP2p1/2P3rp/1P2K3/6P1/8 w - - 0 57,e3f3,b3b4,-755
8/7k/1p1p4/2pP2p1/2P3rp/1P3K2/6P1/8 b - - 1 57,g4d4,g4g3,718
8/7k/1p1p4/2pP2p1/2Pr3p/1P3K2/6P1/8 w - - 2 58,f3e3,g2g3,-696
8/7k/1p1p4/2pP2p1/2Pr3p/1P2K3/6P1/8 b - - 3 58,h7g6,d4f4,751
8/8/1p1p2k1/2pP2p1/2Pr3p/1P2K3/6P1/8 w - - 4 59,g2g3,g2g3,-724
8/8/1p1p2k1/2pP2p1/2Pr3p/1P2K1P1/8/8 b - - 0 59,h4h3,h4h3,748
8/8/1p1p2k1/2pP2p1/2Pr4/1P2K1Pp/8/8 w - - 0 60,b3b4,b3b4,-769
8/8/1p1p2k1/2pP2p1/1PPr4/4K1Pp/8/8 b - - 0 60,h3h2,h3h2,791
8/8/1p1p2k1/2pP2p1/1PPr4/4K1P1/7p/8 w - - 0 61,b4b5,b4b5,-870
8/8/1p1p2k1/1PpP2p1/2Pr4/4K1P1/7p/8 b - - 0 61,h2h1q,h2h1q,99996
8/8/1p1p2k1/1PpP2p1/2Pr4/4K1P1/8/7q w - - 0 62,g3g4,g3g4,-99997
8/8/1p1p2k1/1PpP2p1/2Pr2P1/4K3/8/7q b - - 0 62,h1e4,h1e4,99997
8/8/1p1p2k1/1PpP2p1/2Prq1P1/4K3/8/8 w - - 1 63,e3f2,e3f2,-99998
8/8/1p1p2k1/1PpP2p1/2Prq1P1/8/5K2/8 b - - 2 63,d4d2,d4d2,99998
8/8/1p1p2k1/1PpP2p1/2P1q1P1/8/3r1K2/8 w - - 3 64,f2g1,f2g3,-99999
8/8/1p1p2k1/1PpP2p1/2P1q1P1/8/3r4/6K1 b - - 4 64,e4g2,e4g2,99999
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,e2e4,24
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,c7c5,g8f6,-26
rnbqkbnr/pp1ppppp/8/2p5/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,g1f3,d4d5,86
rnbqkbnr/pp1ppppp/8/2p5/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2,c5d4,c5d4,12
rnbqkbnr/pp1ppppp/8/8/3p4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 0 3,c2c3,d1d4,10
rnbqkbnr/pp1ppppp/8/8/3p4/2P2N2/PP2PPPP/RNBQKB1R b KQkq - 0 3,d4c3,d4c3,21
rnbqkbnr/pp1ppppp/8/8/8/2p2N2/PP2PPPP/RNBQKB1R w KQkq - 0 4,b1c3,b1c3,-43
rnbqkbnr/pp1ppppp/8/8/8/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 0 4,g7g6,b8c6,41
rnbqkbnr/pp1ppp1p/6p1/8/8/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,e2e4,e2e4,-3
rnbqkbnr/pp1ppp1p/6p1/8/4P3/2N2N2/PP3PPP/R1BQKB1R b KQkq - 0 5,f8g7,f8g7,-4
rnbqk1nr/pp1pppbp/6p1/8/4P3/2N2N2/PP3PPP/R1BQKB1R w KQkq - 1 6,f1c4,f1c4,7
rnbqk1nr/pp1pppbp/6p1/8/2B1P3/2N2N2/PP3PPP/R1BQK2R b KQkq - 2 6,b8c6,b8c6,22
r1bqk1nr/pp1pppbp/2n3p1/8/2B1P3/2N2N2/PP3PPP/R1BQK2R w KQkq - 3 7,e1g1,e4e5,21
r1bqk1nr/pp1pppbp/2n3p1/8/2B1P3/2N2N2/PP3PPP/R1BQ1RK1 b kq - 4 7,g8f6,d7d6,6
r1bqk2r/pp1pppbp/2n2np1/8/2B1P3/2N2N2/PP3PPP/R1BQ1RK1 w kq - 5 8,e4e5,e4e5,30
r1bqk2r/pp1pppbp/2n2np1/4P3/2B5/2N2N2/PP3PPP/R1BQ1RK1 b kq - 0 8,f6g4,f6g4,0
r1bqk2r/pp1pppbp/2n3p1/4P3/2B3n1/2N2N2/PP3PPP/R1BQ1RK1 w kq - 1 9,c4f7,c4f7,22
r1bqk2r/pp1ppBbp/2n3p1/4P3/6n1/2N2N2/PP3PPP/R1BQ1RK1 b kq - 0 9,e8f7,e8f7,-2
r1bq3r/pp1ppkbp/2n3p1/4P3/6n1/2N2N2/PP3PPP/R1BQ1RK1 w - - 0 10,f3g5,f3g5,12
r1bq3r/pp1ppkbp/2n3p1/4P1N1/6n1/2N5/PP3PPP/R1BQ1RK1 b - - 1 10,f7g8,f7g8,14
r1bq2kr/pp1pp1bp/2n3p1/4P1N1/6n1/2N5/PP3PPP/R1BQ1RK1 w - - 2 11,d1g4,d1g4,-11
r1bq2kr/pp1pp1bp/2n3p1/4P1N1/6Q1/2N5/PP3PPP/R1B2RK1 b - - 0 11,c6e5,c6e5,6
r1bq2kr/pp1pp1bp/6p1/4n1N1/6Q1/2N5/PP3PPP/R1B2RK1 w - - 0 12,g4e2,g4e4,-11
r1bq2kr/pp1pp1bp/6p1/4n1N1/8/2N5/PP2QPPP/R1B2RK1 b - - 1 12,d7d5,h7h6,79
r1bq2kr/pp2p1bp/6p1/3pn1N1/8/2N5/PP2QPPP/R1B2RK1 w - - 0 13,f1d1,c1f4,218
r1bq2kr/pp2p1bp/6p1/3pn1N1/8/2N5/PP2QPPP/R1BR2K1 b - - 1 13,e7e6,e7e6,4
r1bq2kr/pp4bp/4p1p1/3pn1N1/8/2N5/PP2QPPP/R1BR2K1 w - - 0 14,c1f4,c1f4,-10
r1bq2kr/pp4bp/4p1p1/3pn1N1/5B2/2N5/PP2QPPP/R2R2K1 b - - 1 14,d8f6,d8f6,10
r1b3kr/pp4bp/4pqp1/3pn1N1/5B2/2N5/PP2QPPP/R2R2K1 w - - 2 15,f4e3,e2e5,-23
r1b3kr/pp4bp/4pqp1/3pn1N1/8/2N1B3/PP2QPPP/R2R2K1 b - - 3 15,h7h6,h7h6,157
r1b3kr/pp4b1/4pqpp/3pn1N1/8/2N1B3/PP2QPPP/R2R2K1 w - - 0 16,g5h3,g5h3,-182
r1b3kr/pp4b1/4pqpp/3pn3/8/2N1B2N/PP2QPPP/R2R2K1 b - - 1 16,e5c4,e5c6,161
r1b3kr/pp4b1/4pqpp/3p4/2n5/2N1B2N/PP2QPPP/R2R2K1 w - - 2 17,e3d4,e3d4,67
r1b3kr/pp4b1/4pqpp/3p4/2nB4/2N4N/PP2QPPP/R2R2K1 b - - 3 17,f6f7,f6f5,-17
r1b3kr/pp3qb1/4p1pp/3p4/2nB4/2N4N/PP2QPPP/R2R2K1 w - - 4 18,d4g7,d4g7,26
r1b3kr/pp3qB1/4p1pp/3p4/2n5/2N4N/PP2QPPP/R2R2K1 b - - 0 18,g8g7,g8g7,-22
r1b4r/pp3qk1/4p1pp/3p4/2n5/2N4N/PP2QPPP/R2R2K1 w - - 0 19,b2b3,b2b3,23
r1b4r/pp3qk1/4p1pp/3p4/2n5/1PN4N/P3QPPP/R2R2K1 b - - 0 19,c4b6,c4a5,36
r1b4r/pp3qk1/1n2p1pp/3p4/8/1PN4N/P3QPPP/R2R2K1 w - - 1 20,c3b5,a2a4,25
r1b4r/pp3qk1/1n2p1pp/1N1p4/8/1P5N/P3QPPP/R2R2K1 b - - 2 20,c8d7,c8d7,-4
r6r/pp1b1qk1/1n2p1pp/1N1p4/8/1P5N/P3QPPP/R2R2K1 w - - 3 21,b5d6,b5d4,28
r6r/pp1b1qk1/1n1Np1pp/3p4/8/1P5N/P3QPPP/R2R2K1 b - - 4 21,f7f6,f7e7,62
r6r/pp1b2k1/1n1Npqpp/3p4/8/1P5N/P3QPPP/R2R2K1 w - - 5 22,d6b7,f2f4,-78
r6r/pN1b2k1/1n2pqpp/3p4/8/1P5N/P3QPPP/R2R2K1 b - - 0 22,d7c6,e6e5,139
r6r/pN4k1/1nb1pqpp/3p4/8/1P5N/P3QPPP/R2R2K1 w - - 1 23,b7c5,b7a5,-1
r6r/p5k1/1nb1pqpp/2Np4/8/1P5N/P3QPPP/R2R2K1 b - - 2 23,h8e8,e6e5,9
r3r3/p5k1/1nb1pqpp/2Np4/8/1P5N/P3QPPP/R2R2K1 w - - 3 24,a1c1,f2f3,35
r3r3/p5k1/1nb1pqpp/2Np4/8/1P5N/P3QPPP/2RR2K1 b - - 4 24,e6e5,e6e5,-46
r3r3/p5k1/1nb2qpp/2Npp3/8/1P5N/P3QPPP/2RR2K1 w - - 0 25,c5d3,e2a6,39
r3r3/p5k1/1nb2qpp/3pp3/8/1P1N3N/P3QPPP/2RR2K1 b - - 1 25,d5d4,d5d4,51
r3r3/p5k1/1nb2qpp/4p3/3p4/1P1N3N/P3QPPP/2RR2K1 w - - 0 26,c1c6,f2f3,-51
r3r3/p5k1/1nR2qpp/4p3/3p4/1P1N3N/P3QPPP/3R2K1 b - - 0 26,f6c6,f6c6,261
r3r3/p5k1/1nq3pp/4p3/3p4/1P1N3N/P3QPPP/3R2K1 w - - 0 27,d3e5,d3e5,-297
r3r3/p5k1/1nq3pp/4N3/3p4/1P5N/P3QPPP/3R2K1 b - - 0 27,c6e6,c6d6,283
r3r3/p5k1/1n2q1pp/4N3/3p4/1P5N/P3QPPP/3R2K1 w - - 1 28,f2f4,f2f4,-226
r3r3/p5k1/1n2q1pp/4N3/3p1P2/1P5N/P3Q1PP/3R2K1 b - - 0 28,a8d8,b6d7,268
3rr3/p5k1/1n2q1pp/4N3/3p1P2/1P5N/P3Q1PP/3R2K1 w - - 1 29,h3f2,e2a6,-171
3rr3/p5k1/1n2q1pp/4N3/3p1P2/1P6/P3QNPP/3R2K1 b - - 2 29,b6d5,b6d5,271
3rr3/p5k1/4q1pp/3nN3/3p1P2/1P6/P3QNPP/3R2K1 w - - 3 30,g2g3,e2c4,-228
3rr3/p5k1/4q1pp/3nN3/3p1P2/1P4P1/P3QN1P/3R2K1 b - - 0 30,d5c3,d5c3,333
3rr3/p5k1/4q1pp/4N3/3p1P2/1Pn3P1/P3QN1P/3R2K1 w - - 1 31,e2d2,e2d3,-313
3rr3/p5k1/4q1pp/4N3/3p1P2/1Pn3P1/P2Q1N1P/3R2K1 b - - 2 31,c3d1,c3d1,355
3rr3/p5k1/4q1pp/4N3/3p1P2/1P4P1/P2Q1N1P/3n2K1 w - - 0 32,d2d1,d2d1,-370
3rr3/p5k1/4q1pp/4N3/3p1P2/1P4P1/P4N1P/3Q2K1 b - - 0 32,d4d3,e8e7,327
3rr3/p5k1/4q1pp/4N3/5P2/1P1p2P1/P4N1P/3Q2K1 w - - 0 33,f2d3,f2d3,-322
3rr3/p5k1/4q1pp/4N3/5P2/1P1N2P1/P6P/3Q2K1 b - - 0 33,e6f5,e8e7,313
3rr3/p5k1/6pp/4Nq2/5P2/1P1N2P1/P6P/3Q2K1 w - - 1 34,d1f3,d1a1,-259
3rr3/p5k1/6pp/4Nq2/5P2/1P1N1QP1/P6P/6K1 b - - 2 34,e8e5,e8e7,327
3r4/p5k1/6pp/4rq2/5P2/1P1N1QP1/P6P/6K1 w - - 0 35,d3e5,d3e5,-88
3r4/p5k1/6pp/4Nq2/5P2/1P3QP1/P6P/6K1 b - - 0 35,f5b1,f5b1,315
3r4/p5k1/6pp/4N3/5P2/1P3QP1/P6P/1q4K1 w - - 1 36,g1g2,g1g2,-150
3r4/p5k1/6pp/4N3/5P2/1P3QP1/P5KP/1q6 b - - 2 36,d8d2,b1a2,155
8/p5k1/6pp/4N3/5P2/1P3QP1/P2r2KP/1q6 w - - 3 37,g2h3,g2h3,-1
8/p5k1/6pp/4N3/5P2/1P3QPK/P2r3P/1q6 b - - 4 37,b1g1,b1f5,0
8/p5k1/6pp/4N3/5P2/1P3QPK/P2r3P/6q1 w - - 5 38,f3b7,f3b7,99993
8/pQ4k1/6pp/4N3/5P2/1P4PK/P2r3P/6q1 b - - 6 38,g7f6,g7h8,-99994
8/pQ6/5kpp/4N3/5P2/1P4PK/P2r3P/6q1 w - - 7 39,b7f7,b7f7,99999
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,g1f3,e2e4,23
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,d7d5,d7d5,-18
rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,g2g3,d2d4,19
rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq - 0 2,e7e6,g8f6,-18
rnbqkbnr/ppp2ppp/4p3/3p4/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 0 3,f1g2,f1g2,13
rnbqkbnr/ppp2ppp/4p3/3p4/8/5NP1/PPPPPPBP/RNBQK2R b KQkq - 1 3,g8f6,g8f6,-29
rnbqkb1r/ppp2ppp/4pn2/3p4/8/5NP1/PPPPPPBP/RNBQK2R w KQkq - 2 4,e1g1,c2c4,33
rnbqkb1r/ppp2ppp/4pn2/3p4/8/5NP1/PPPPPPBP/RNBQ1RK1 b kq - 3 4,f8e7,c7c5,-15
rnbqk2r/ppp1bppp/4pn2/3p4/8/5NP1/PPPPPPBP/RNBQ1RK1 w kq - 4 5,d2d3,c2c4,34
