Event,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,AN,avg_elo
 Blitz ,jeffforever,jitanu76,0-1,2016.07.06,18:40:33,2595,2775,-7.0,6.0,B10,Caro-Kann Defense: Two Knights Attack,180+1,Normal,1. e4 { [%eval 0.21] } 1... c6 { [%eval 0.42] } 2. Nf3 { [%eval 0.32] } 2... d5 { [%eval 0.33] } 3. Nc3 { [%eval 0.36] } 3... d4 { [%eval 0.55] } 4. Ne2 { [%eval 0.54] } 4... c5 { [%eval 0.57] } 5. c3 { [%eval 0.56] } 5... Nc6 { [%eval 0.8] } 6. cxd4 { [%eval 0.79] } 6... cxd4 { [%eval 0.84] } 7. Ng3?! { [%eval 0.1] } 7... e5 { [%eval 0.1] } 8. Bc4 { [%eval -0.06] } 8... f6?! { [%eval 0.59] } 9. O-O { [%eval 0.58] } 9... Nh6 { [%eval 0.7] } 10. d3 { [%eval 0.75] } 10... g5? { [%eval 1.87] } 11. Nxg5 { [%eval 1.44] } 11... fxg5 { [%eval 1.7] } 12. Qh5+ { [%eval 1.48] } 12... Kd7 { [%eval 1.69] } 13. Bxg5 { [%eval 1.67] } 13... Qe8 { [%eval 1.53] } 14. Qh4 { [%eval 1.55] } 14... Nf7 { [%eval 1.43] } 15. Bf6 { [%eval 1.37] } 15... Be7 { [%eval 1.62] } 16. Nf5 { [%eval 1.42] } 16... Bxf6 { [%eval 1.52] } 17. Qxf6 { [%eval 1.18] } 17... Rf8 { [%eval 1.13] } 18. f4? { [%eval 0.0] } 18... Kc7 { [%eval 0.0] } 19. Bxf7 { [%eval 0.0] } 19... Rxf7?? { [%eval 3.08] } 20. Qd6+?? { [%eval -1.41] } 20... Kb6 { [%eval -1.03] } 21. b4?! { [%eval -1.77] } 21... Bxf5?! { [%eval -1.13] } 22. exf5?! { [%eval -2.09] } 22... Qe7 { [%eval -1.94] } 23. Qd5?! { [%eval -2.79] } 23... Rd8 { [%eval -2.27] } 24. Qb3?! { [%eval -2.91] } 24... exf4? { [%eval -1.46] } 25. Rae1 { [%eval -1.33] } 25... Qd7 { [%eval -1.7] } 26. Rxf4? { [%eval -3.1] } 26... Rxf5 { [%eval -2.97] } 27. Rfe4 { [%eval -3.18] } 27... a6 { [%eval -3.02] } 28. a4 { [%eval -2.96] } 28... Qf7 { [%eval -2.8] } 29. Re6?? { [%eval -5.81] } 29... Rf8? { [%eval -4.31] } 30. a5+?? { [%eval -8.67] } 30... Ka7 { [%eval -8.01] } 31. Qb1? { [%eval -12.3] } 31... Rf2?? { [%eval -6.58] } 32. R6e2 { [%eval -6.52] } 32... Rxe2 { [%eval -6.43] } 33. Rxe2 { [%eval -6.53] } 33... Nxb4 { [%eval -6.32] } 34. h3 { [%eval -6.26] } 34... Nd5 { [%eval -5.76] } 35. Qb2? { [%eval -7.3] } 35... Qf1+ { [%eval -6.85] } 36. Kh2 { [%eval -6.95] } 36... Qf4+?! { [%eval -6.32] } 37. Kg1 { [%eval -6.4] } 37... Ka8 { [%eval -6.27] } 38. Re4?? { [%eval -11.55] } 38... Qf1+ { [%eval -10.94] } 39. Kh2 { [%eval -10.27] } 39... Ne3 { [%eval -8.54] } 40. Rxd4? { [%eval -12.07] } 40... Qe1?? { [%eval -4.0] } 41. Re4?? { [%eval -15.15] } 41... Nf1+ { [%eval -13.01] } 42. Kg1 { [%eval -12.21] } 42... Qd1?? { [%eval -3.21] } 43. Qe2 { [%eval -3.51] } 43... Qxe2?! { [%eval -2.96] } 44. Rxe2 { [%eval -2.75] } 44... Ng3 { [%eval -2.76] } 45. Re5 { [%eval -2.52] } 45... Rf5?! { [%eval -1.85] } 46. Kh2?? { [%eval -16.0] } 46... Rxe5 { [%eval -15.8] } 47. Kxg3 { [%eval -15.42] } 47... Rxa5 { [%eval -9.79] } 0-1,2685.0
 Blitz ,jitanu76,zoranp,0-1,2016.07.06,18:50:02,2781,2612,-17.0,17.0,D02,Queen's Pawn Game: London System,180+1,Normal,1. d4 d5 2. Nf3 Nf6 3. Bf4 e6 4. e3 c5 5. Nbd2 Nc6 6. c3 Bd6 7. Bg3 O-O 8. Bb5 Qe7 9. O-O Bd7 10. Qe2 a6 11. Bd3 e5 12. dxc5 Bxc5 13. e4 d4 14. Nc4 dxc3 15. bxc3 Bg4 16. h3 Bh5 17. Bh2 b5 18. Ne3 Bxe3 19. Qxe3 Bxf3 20. Qxf3 Rac8 21. a4 Na7 22. axb5 Nxb5 23. Rxa6 Nxc3 24. Qf5 Rfe8 25. Bg3 Rcd8 26. Bc2 Ne2+ 27. Kh2 Nxg3 28. fxg3 Rd2 29. Bb3 Rb8 30. Qg5 Rd6 31. Rxf6 Qxf6 0-1,2696.5
 Blitz ,zoranp,jitanu76,1-0,2016.07.06,18:54:24,2629,2764,16.0,-16.0,C07,"French Defense: Tarrasch Variation, Chistyakov Defense",180+1,Normal,1. e4 { [%eval 0.25] } 1... e6 { [%eval 0.22] } 2. d4 { [%eval 0.15] } 2... d5 { [%eval 0.26] } 3. Nd2 { [%eval 0.15] } 3... c5 { [%eval 0.17] } 4. exd5 { [%eval 0.13] } 4... Qxd5 { [%eval 0.1] } 5. dxc5 { [%eval 0.16] } 5... Nf6 { [%eval 0.13] } 6. Ngf3 { [%eval 0.19] } 6... Qxc5 { [%eval 0.18] } 7. Bd3 { [%eval 0.22] } 7... Nbd7 { [%eval 0.19] } 8. O-O { [%eval 0.12] } 8... Be7 { [%eval 0.24] } 9. Qe2 { [%eval 0.03] } 9... Qc7 { [%eval 0.1] } 10. Ne4 { [%eval 0.02] } 10... Nxe4 { [%eval 0.09] } 11. Bxe4 { [%eval -0.05] } 11... Nc5 { [%eval 0.1] } 12. Rd1 { [%eval -0.12] } 12... O-O { [%eval -0.05] } 13. c3 { [%eval 0.0] } 13... Nxe4 { [%eval -0.09] } 14. Qxe4 { [%eval -0.15] } 14... f6 { [%eval -0.11] } 15. Nd4 { [%eval -0.1] } 15... e5 { [%eval -0.02] } 16. Nf5 { [%eval -0.06] } 16... Bc5 { [%eval -0.05] } 17. Qd5+ { [%eval -0.02] } 17... Kh8 { [%eval 0.01] } 18. Be3 { [%eval 0.05] } 18... Ba3 { [%eval 0.38] } 19. Nxg7 { [%eval 0.47] } 19... Bxb2 { [%eval 0.31] } 20. Rab1 { [%eval 0.58] } 20... Bxc3? { [%eval 2.7] } 21. Nh5 { [%eval 1.47] } 21... Bf5?? { [%eval 5.1] } 22. Rxb7 { [%eval 4.89] } 22... Qa5?? { [%eval 9.51] } 23. Qb3 { [%eval 8.01] } 23... Bg4? { [%eval #5] } 24. Bh6 { [%eval #4] } 1-0,2696.5
 Blitz ,fortresspieces,EnergyVision,1-0,2016.07.07,20:55:34,2697,2626,9.0,-10.0,E97,"King's Indian Defense: Orthodox Variation, Aronin-Taimanov Defense",180+0,Normal,1. d4 { [%eval 0.14] } 1... Nf6 { [%eval 0.12] } 2. c4 { [%eval 0.17] } 2... g6 { [%eval 0.37] } 3. Nc3 { [%eval 0.54] } 3... Bg7 { [%eval 0.44] } 4. e4 { [%eval 0.46] } 4... O-O { [%eval 0.52] } 5. Nf3 { [%eval 0.5] } 5... d6 { [%eval 0.51] } 6. Be2 { [%eval 0.49] } 6... e5 { [%eval 0.55] } 7. O-O { [%eval 0.16] } 7... Nc6 { [%eval 0.64] } 8. d5 { [%eval 0.67] } 8... Ne7 { [%eval 0.69] } 9. h3 { [%eval 0.53] } 9... Nd7 { [%eval 0.6] } 10. Bg5 { [%eval 0.37] } 10... f6 { [%eval 0.48] } 11. Be3 { [%eval 0.56] } 11... Kh8 { [%eval 0.9] } 12. a4?! { [%eval 0.36] } 12... a5 { [%eval 0.44] } 13. Qe1 { [%eval 0.15] } 13... b6 { [%eval 0.19] } 14. Nd2 { [%eval 0.07] } 14... f5 { [%eval 0.08] } 15. f4 { [%eval 0.27] } 15... exf4 { [%eval 0.27] } 16. Bxf4 { [%eval 0.06] } 16... Ne5 { [%eval 0.23] } 17. Nb5 { [%eval 0.02] } 17... Bd7 { [%eval 0.17] } 18. Qh4 { [%eval -0.18] } 18... Bf6 { [%eval -0.31] } 19. Qf2 { [%eval -0.34] } 19... g5 { [%eval -0.36] } 20. Bh2 { [%eval -0.49] } 20... f4 { [%eval -0.39] } 21. Bh5 { [%eval -0.41] } 21... Rg8 { [%eval -0.39] } 22. Ra3 { [%eval -0.31] } 22... Qf8?! { [%eval 0.2] } 23. Nxc7 { [%eval 0.41] } 23... Rc8 { [%eval 0.33] } 24. Ne6?! { [%eval -0.28] } 24... Qh6 { [%eval 0.06] } 25. Be2 { [%eval -0.02] } 25... Bxe6 { [%eval -0.05] } 26. dxe6 { [%eval 0.01] } 26... N7c6 { [%eval 0.02] } 27. Nb3?! { [%eval -0.69] } 27... Be7 { [%eval -0.38] } 28. Qxb6?! { [%eval -0.9] } 28... Qxe6 { [%eval -0.77] } 29. Qb5 { [%eval -1.07] } 29... g4?! { [%eval -0.17] } 30. hxg4 { [%eval -0.24] } 30... Nxg4 { [%eval -0.16] } 31. Qf5 { [%eval -0.32] } 31... Qxf5 { [%eval -0.22] } 32. exf5 { [%eval -0.38] } 32... Nxh2 { [%eval 0.0] } 33. Kxh2 { [%eval 0.0] } 33... Bf6 { [%eval 0.19] } 34. Rb1 { [%eval 0.08] } 34... Be5 { [%eval 0.23] } 35. Bf3 { [%eval 0.2] } 35... Rg5 { [%eval 0.19] } 36. Kh1 { [%eval -0.12] } 36... Rxf5? { [%eval 1.89] } 37. Bg4 { [%eval 1.77] } 37... Rcf8 { [%eval 1.63] } 38. Bxf5 { [%eval 1.74] } 38... Rxf5 { [%eval 1.7] } 39. Nd2 { [%eval 1.87] } 39... Rh5+ { [%eval 2.2] } 40. Kg1? { [%eval 1.01] } 40... Nd4? { [%eval 2.68] } 41. Rd3 { [%eval 2.44] } 41... Ne2+? { [%eval 3.55] } 42. Kf2 { [%eval 3.41] } 42... Ng3?! { [%eval 4.09] } 43. b4 { [%eval 4.09] } 43... axb4 { [%eval 4.12] } 44. Rxb4 { [%eval 4.06] } 44... Rh1 { [%eval 3.99] } 45. Rb8+ { [%eval 3.73] } 45... Kg7 { [%eval 3.63] } 46. Rb7+ { [%eval 3.38] } 46... Kg6 { [%eval 3.32] } 47. Rd5? { [%eval 1.94] } 47... Ra1? { [%eval 3.81] } 48. c5 { [%eval 3.78] } 48... Rxa4? { [%eval 5.52] } 49. cxd6 { [%eval 5.52] } 49... Bd4+ { [%eval 5.32] } 50. Kf3 { [%eval 5.27] } 50... Be3?? { [%eval 54.95] } 51. d7 { [%eval 54.87] } 51... Bxd2?! { [%eval #4] } 52. d8=Q?! { [%eval #4] } 52... Ra3+ { [%eval #4] } 1-0,2661.5
 Blitz ,fortresspieces,EnergyVision,1-0,2016.07.07,21:08:27,2692,2631,9.0,-10.0,E70,King's Indian Defense: Normal Variation,180+0,Normal,1. d4 { [%eval 0.13] } 1... Nf6 { [%eval 0.18] } 2. c4 { [%eval 0.12] } 2... g6 { [%eval 0.43] } 3. Nc3 { [%eval 0.51] } 3... Bg7 { [%eval 0.52] } 4. e4 { [%eval 0.5] } 4... O-O { [%eval 0.51] } 5. e5 { [%eval 0.23] } 5... d6? { [%eval 2.84] } 6. exf6 { [%eval 2.76] } 6... Bxf6 { [%eval 2.69] } 7. Nf3 { [%eval 2.76] } 7... Nc6 { [%eval 2.74] } 8. Bd3?! { [%eval 2.13] } 8... Nxd4 { [%eval 2.24] } 9. Nxd4 { [%eval 2.18] } 9... Bxd4 { [%eval 2.15] } 10. Bh6 { [%eval 2.11] } 10... Re8 { [%eval 2.34] } 11. Qd2 { [%eval 2.29] } 11... c5 { [%eval 2.57] } 12. O-O { [%eval 2.08] } 12... a6 { [%eval 2.12] } 13. Rfe1 { [%eval 2.21] } 13... Rb8 { [%eval 2.09] } 14. Ne2 { [%eval 2.15] } 14... Bh8 { [%eval 2.26] } 15. Nf4 { [%eval 1.95] } 15... b5 { [%eval 1.83] } 16. cxb5 { [%eval 1.66] } 16... axb5 { [%eval 1.79] } 17. Rad1?! { [%eval 1.24] } 17... b4? { [%eval 2.5] } 18. Bc4 { [%eval 2.21] } 18... Bd4 { [%eval 2.52] } 19. Re4 { [%eval 2.36] } 19... e5?! { [%eval 3.06] } 20. Nd5 { [%eval 2.96] } 20... Re6 { [%eval 3.06] } 21. Bg5 { [%eval 2.97] } 21... f6?? { [%eval 11.07] } 22. Nxf6+ { [%eval 10.99] } 22... Kf7 { [%eval 11.05] } 23. Nxh7 { [%eval 10.77] } 23... Qh8 { [%eval 11.05] } 24. Rh4 { [%eval 10.34] } 24... Kg7 { [%eval 24.74] } 25. Bf6+ { [%eval 23.42] } 25... Rxf6?! { [%eval #1] } 26. Qh6# 1-0,2661.5
 Blitz ,hiimgosu,Cofi7,1-0,2016.07.07,23:36:35,2844,2466,4.0,-2.0,A48,London System,180+0,Normal,1. d4 Nf6 2. Nf3 g6 3. Bf4 Bg7 4. e3 d6 5. h3 O-O 6. Be2 c5 7. c3 Nc6 8. Nbd2 cxd4 9. exd4 e5 10. dxe5 dxe5 11. Nxe5 Nd5 12. Nxc6 bxc6 13. Bg3 Re8 14. O-O Bxc3 15. Nc4 Bg7 16. Rc1 Ba6 17. Re1 Bxc4 18. Rxc4 Bxb2 19. Qc2 Be5 20. Bxe5 Rxe5 21. Rd1 Qe7 22. Bf3 Re1+ 23. Rxe1 Qxe1+ 24. Kh2 Qe5+ 25. g3 Rd8 26. Kg2 Kg7 27. a3 h5 28. h4 Ne7 29. Rc5 Qf6 30. Ra5 Rd7 31. Qc5 Qd4 32. Qxd4+ Rxd4 33. Rxa7 Nd5 34. a4 c5 35. Ra5 Nc3 36. Rxc5 Nxa4 37. Rc7 Nb6 38. Rb7 Rd6 39. Be4 Nd5 40. Bc2 Rb6 41. Ra7 Nf6 42. Bd3 Rd6 43. Bb5 Rd7 44. Bxd7 Kf8 45. Bb5 Kg7 46. Bc4 Kh6 47. Rxf7 Ng4 48. Rf4 g5 49. Rxg4 hxg4 50. hxg5+ Kxg5 51. Be2 Kf5 52. Bxg4+ Kxg4 53. f4 Kf5 54. Kf3 Kf6 55. g4 Kg6 56. g5 Kf5 57. Kg3 Kg6 58. Kg4 Kg7 59. f5 1-0,2655.0
 Blitz ,hiimgosu,Cofi7,1/2-1/2,2016.07.07,23:48:32,2852,2462,-15.0,8.0,E70,King's Indian Defense: Normal Variation,180+0,Normal,1. d4 { [%eval 0.17] } 1... Nf6 { [%eval 0.22] } 2. c4 { [%eval 0.14] } 2... g6 { [%eval 0.37] } 3. Nc3 { [%eval 0.39] } 3... Bg7 { [%eval 0.4] } 4. e4 { [%eval 0.5] } 4... O-O { [%eval 0.61] } 5. Be3 { [%eval 0.49] } 5... d6 { [%eval 0.41] } 6. f3 { [%eval 0.17] } 6... Nbd7 { [%eval 0.39] } 7. Nge2 { [%eval 0.26] } 7... a6 { [%eval 0.26] } 8. Qd2 { [%eval 0.15] } 8... c5 { [%eval 0.4] } 9. O-O-O { [%eval 0.39] } 9... b5 { [%eval 0.7] } 10. dxc5 { [%eval 0.34] } 10... dxc5 { [%eval 0.77] } 11. e5 { [%eval 0.83] } 11... Ne8 { [%eval 0.98] } 12. f4 { [%eval 0.7] } 12... Qa5 { [%eval 1.13] } 13. Nd5 { [%eval 1.0] } 13... Qxa2? { [%eval 3.17] } 14. Nec3?! { [%eval 2.5] } 14... Qa1+ { [%eval 2.87] } 15. Kc2 { [%eval 3.41] } 15... Qa5 { [%eval 2.78] } 16. Nxe7+ { [%eval 2.65] } 16... Kh8 { [%eval 2.72] } 17. Nxc8?! { [%eval 2.17] } 17... Nxe5? { [%eval 4.44] } 18. fxe5? { [%eval 2.76] } 18... Rxc8 { [%eval 2.71] } 19. cxb5 { [%eval 2.65] } 19... Nc7?! { [%eval 3.36] } 20. bxa6 { [%eval 3.22] } 20... Bxe5 { [%eval 3.41] } 21. Bc4? { [%eval 2.34] } 21... Nxa6 { [%eval 2.55] } 22. Bxa6?! { [%eval 2.02] } 22... Qxa6 { [%eval 2.21] } 23. Bf4 { [%eval 1.88] } 23... Bd4 { [%eval 2.12] } 24. Qe2 { [%eval 1.79] } 24... Qf6?? { [%eval 5.46] } 25. Rhf1?? { [%eval 2.12] } 25... Rfe8 { [%eval 2.35] } 26. Qf3 { [%eval 2.27] } 26... Qf5+ { [%eval 2.44] } 27. Qd3 { [%eval 2.32] } 27... Qg4 { [%eval 2.42] } 28. Qf3 { [%eval 2.48] } 28... Qf5+ { [%eval 2.41] } 29. Qd3 { [%eval 2.36] } 29... Qg4 { [%eval 2.43] } 30. Rd2 { [%eval 2.15] } 30... Re6?! { [%eval 2.72] } 31. Qh3 { [%eval 2.33] } 31... Qxh3 { [%eval 2.37] } 32. gxh3 { [%eval 2.34] } 32... Rce8 { [%eval 2.81] } 33. Bg3 { [%eval 2.37] } 33... f5 { [%eval 2.37] } 34. h4 { [%eval 2.01] } 34... Kg7 { [%eval 2.47] } 35. b3 { [%eval 2.16] } 35... Re3 { [%eval 2.42] } 36. Nd1 { [%eval 1.93] } 36... Re2?! { [%eval 2.52] } 37. Rxe2 { [%eval 2.52] } 37... Rxe2+ { [%eval 2.55] } 38. Kd3 { [%eval 2.42] } 38... Re4 { [%eval 2.46] } 39. Re1 { [%eval 2.47] } 39... Rg4 { [%eval 2.54] } 40. Ne3?! { [%eval 2.02] } 40... Bxe3 { [%eval 1.78] } 41. Kxe3?! { [%eval 1.16] } 41... Rb4 { [%eval 1.17] } 42. Rb1 { [%eval 1.09] } 42... c4 { [%eval 1.09] } 43. Bd6?! { [%eval 0.57] } 43... Rxb3+ { [%eval 0.55] } 44. Rxb3 { [%eval 0.52] } 44... cxb3 { [%eval 0.27] } 45. Be5+ { [%eval 0.07] } 45... Kh6 { [%eval 0.07] } 46. Kf4 { [%eval 0.0] } 46... Kh5 { [%eval 0.0] } 47. Kg3 { [%eval -0.07] } 47... h6 { [%eval -0.07] } 48. Bb2 { [%eval -0.07] } 48... g5 { [%eval -0.07] } 49. hxg5 { [%eval -0.07] } 49... hxg5 { [%eval -0.07] } 50. Be5 { [%eval -0.07] } 50... Kg6 { [%eval -0.07] } 51. Bc3 { [%eval -0.07] } 51... Kf7 { [%eval -0.07] } 52. Kf3 { [%eval -0.07] } 52... Ke6 { [%eval -0.07] } 53. Ke3 { [%eval -0.07] } 53... Kd5?! { [%eval 0.45] } 54. Kd3 { [%eval 0.45] } 54... f4 { [%eval 0.45] } 55. Bf6?! { [%eval -0.07] } 55... Ke6 { [%eval 0.07] } 56. Bxg5 { [%eval 0.07] } 56... Kf5 { [%eval 0.07] } 57. Bh4 { [%eval 0.07] } 57... Kg4 { [%eval 0.07] } 58. Be1 { [%eval -0.07] } 58... b2 { [%eval 0.07] } 59. Kc2 { [%eval 0.07] } 59... Kh3 { [%eval 0.07] } 60. Bg3 { [%eval -0.07] } 60... fxg3 { [%eval -0.07] } 61. hxg3 { [%eval -0.07] } 61... b1=Q+ { [%eval -0.07] } 62. Kxb1 { [%eval -0.07] } 62... Kxg3 { [%eval -0.07] } 1/2-1/2,2657.0
 Blitz ,Riplus,lovlas,0-1,2016.07.08,08:50:03,2759,2614,-16.0,23.0,B31,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",180+0,Normal,1. Nf3 { [%eval 0.27] } 1... c5 { [%eval 0.4] } 2. e4 { [%eval 0.22] } 2... Nc6 { [%eval 0.37] } 3. Bb5 { [%eval 0.38] } 3... g6 { [%eval 0.27] } 4. O-O { [%eval 0.3] } 4... Bg7 { [%eval 0.53] } 5. Bxc6 { [%eval 0.16] } 5... dxc6 { [%eval 0.32] } 6. h3 { [%eval 0.27] } 6... Nf6 { [%eval 0.36] } 7. d3 { [%eval 0.32] } 7... O-O { [%eval 0.38] } 8. Nc3 { [%eval 0.4] } 8... Nd7 { [%eval 0.34] } 9. Nh2 { [%eval 0.02] } 9... e5 { [%eval 0.22] } 10. f4 { [%eval -0.04] } 10... exf4 { [%eval 0.0] } 11. Bxf4 { [%eval -0.01] } 11... Qe7 { [%eval 0.18] } 12. Qd2 { [%eval 0.2] } 12... Re8 { [%eval 0.32] } 13. Rae1 { [%eval 0.31] } 13... Ne5 { [%eval 0.26] } 14. Bh6 { [%eval 0.25] } 14... Bh8 { [%eval 0.17] } 15. b3 { [%eval 0.25] } 15... Be6 { [%eval 0.22] } 16. Nd1 { [%eval 0.15] } 16... Rad8 { [%eval 0.37] } 17. Qe3? { [%eval -1.56] } 17... Ng4? { [%eval -0.29] } 18. Nxg4 { [%eval -0.76] } 18... Bd4 { [%eval -0.81] } 19. Qxd4?! { [%eval -1.39] } 19... cxd4 { [%eval -1.32] } 20. Nf6+ { [%eval -1.25] } 20... Kh8 { [%eval -1.3] } 21. Bg5?! { [%eval -2.23] } 21... Qc5 { [%eval -2.13] } 22. Bh6 { [%eval -2.2] } 22... Re7 { [%eval -2.05] } 23. Rf2 { [%eval -2.54] } 23... a5 { [%eval -2.35] } 24. e5 { [%eval -2.43] } 24... Bf5?! { [%eval -1.93] } 25. g4? { [%eval -3.25] } 25... Bc8? { [%eval -1.7] } 26. Ne4? { [%eval -3.22] } 26... Qxe5 { [%eval -3.09] } 27. Bg5?! { [%eval -3.83] } 27... Qxg5 { [%eval -3.77] } 28. Nxg5 { [%eval -3.8] } 28... Rxe1+ { [%eval -3.71] } 29. Rf1 { [%eval -3.68] } 29... Rxf1+ { [%eval -3.58] } 30. Kxf1 { [%eval -3.56] } 30... Kg7 { [%eval -3.5] } 0-1,2686.5
 Blitz ,lovlas,Riplus,1-0,2016.07.08,08:52:52,2637,2743,20.0,-15.0,E16,Queen's Indian Defense: Yates Variation,180+0,Normal,1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+ 4. Bd2 a5 5. g3 b6 6. Bg2 Bb7 7. O-O O-O 8. a3 Be7 9. Nc3 Ne4 10. Nxe4 Bxe4 11. Rc1 d6 12. Bc3 a4 13. Re1 Nd7 14. Nd2 Bxg2 15. Kxg2 c5 16. dxc5 Nxc5 17. Qc2 Qd7 18. Red1 Rfc8 19. Kg1 Qb7 20. Bd4 Rc7 21. Bxc5 bxc5 22. Ne4 Ra6 23. Nc3 Qc6 24. Qe4 Qxe4 25. Nxe4 Rb7 26. Rc2 Rab6 27. Rdd2 Kf8 28. Nc3 Ra6 29. e4 Bf6 30. Nb5 Ke7 31. f4 Rab6 32. Kf2 Bd4+ 33. Kf3 e5 34. h4 h5 35. f5 Kd7 36. Rg2 Kc6 37. g4 f6 38. gxh5 Rxb5 39. cxb5+ Kxb5 40. Rg6 c4 41. h6 gxh6 42. Rxf6 Kc5 43. Rxh6 Bxb2 44. Rh8 c3 45. h5 Kd4 46. Ke2 Kxe4 47. h6 d5 48. Ra8 Kxf5 49. Rxa4 Rh7 50. Rh4 d4 51. Kd3 Bxa3 52. Rg2 Bf8 53. Rh5+ Ke6 54. Ke4 Rxh6 55. Rxh6+ Bxh6 56. Rg6+ Kd7 57. Rxh6 1-0,2690.0
 Blitz ,Riplus,lovlas,1-0,2016.07.08,08:57:39,2728,2657,10.0,-12.0,C05,"French Defense: Tarrasch Variation, Closed Variation #2",180+0,Normal,1. e4 { [%eval 0.24] } 1... e6 { [%eval 0.24] } 2. d4 { [%eval 0.19] } 2... d5 { [%eval 0.19] } 3. Nd2 { [%eval 0.2] } 3... Nf6 { [%eval 0.24] } 4. Bd3 { [%eval 0.21] } 4... c5 { [%eval 0.19] } 5. e5 { [%eval 0.19] } 5... Nfd7 { [%eval 0.11] } 6. c3 { [%eval 0.15] } 6... Nc6 { [%eval 0.26] } 7. Ngf3 { [%eval 0.09] } 7... f6 { [%eval 0.51] } 8. O-O?! { [%eval -0.19] } 8... fxe5 { [%eval -0.03] } 9. dxe5 { [%eval -0.06] } 9... g6 { [%eval -0.13] } 10. Re1 { [%eval -0.55] } 10... Bg7 { [%eval -0.7] } 11. Bb5 { [%eval -0.58] } 11... Qc7?! { [%eval 0.07] } 12. c4 { [%eval -0.18] } 12... d4 { [%eval 0.0] } 13. Ne4 { [%eval 0.07] } 13... O-O { [%eval -0.24] } 14. Bxc6 { [%eval -0.14] } 14... bxc6 { [%eval 0.0] } 15. Bg5 { [%eval -0.26] } 15... Nxe5 { [%eval -0.21] } 16. Nxe5 { [%eval -0.25] } 16... Bxe5 { [%eval -0.31] } 17. h4 { [%eval -0.33] } 17... Bg7 { [%eval -0.02] } 18. Qd2 { [%eval -0.29] } 18... e5 { [%eval -0.34] } 19. Bh6 { [%eval -0.38] } 19... Qe7 { [%eval -0.03] } 20. Bxg7 { [%eval -0.15] } 20... Kxg7 { [%eval -0.08] } 21. Qg5 { [%eval -0.14] } 21... Qxg5 { [%eval 0.24] } 22. hxg5 { [%eval 0.31] } 22... Bf5 { [%eval 0.35] } 23. Nxc5 { [%eval 0.21] } 23... Rfe8 { [%eval 0.43] } 24. f3 { [%eval 0.62] } 24... a5 { [%eval 0.85] } 25. b3 { [%eval 0.48] } 25... Rad8?! { [%eval 1.08] } 26. Rad1 { [%eval 0.91] } 26... h6 { [%eval 1.07] } 27. gxh6+ { [%eval 1.08] } 27... Kxh6 { [%eval 1.12] } 28. Kf2?! { [%eval 0.44] } 28... Kg7?! { [%eval 1.13] } 29. Rd2?! { [%eval 0.33] } 29... g5 { [%eval 0.31] } 30. Rde2 { [%eval 0.0] } 30... Kf6 { [%eval 0.0] } 31. g4 { [%eval 0.0] } 31... Bg6 { [%eval 0.0] } 32. Kg3 { [%eval 0.0] } 32... Re7 { [%eval 0.03] } 33. Rd2 { [%eval 0.0] } 33... Rh8 { [%eval 0.0] } 34. Rh2 { [%eval 0.0] } 34... Ree8? { [%eval 1.58] } 35. Rxh8 { [%eval 1.4] } 35... Rxh8 { [%eval 1.58] } 36. Nd7+ { [%eval 1.5] } 36... Kg7 { [%eval 1.57] } 37. Nxe5 { [%eval 1.29] } 37... c5?! { [%eval 2.16] } 38. Nd7 { [%eval 1.74] } 38... Rd8?! { [%eval 2.47] } 39. Re7+?! { [%eval 1.83] } 39... Kg8 { [%eval 1.77] } 40. Kf2 { [%eval 1.6] } 40... d3? { [%eval 3.96] } 41. Ke3 { [%eval 3.9] } 41... d2 { [%eval 4.35] } 42. Kxd2 { [%eval 4.27] } 42... Bb1 { [%eval 4.55] } 43. Kc3 { [%eval 4.35] } 43... Bxa2? { [%eval 6.78] } 44. Kb2 { [%eval 6.51] } 1-0,2692.5
